Player_id,Urls,Contains_image,Player,Updated_urls
jokicni01,https://www.basketball-reference.com/req/202106291/images/players/jokicni01.jpg,1,Nikola Jokić,https://www.basketball-reference.com/req/202106291/images/players/jokicni01.jpg
jonesty01,https://www.basketball-reference.com/req/202106291/images/players/jonesty01.jpg,1,Tyus Jones,https://www.basketball-reference.com/req/202106291/images/players/jonesty01.jpg
kaminfr01,https://www.basketball-reference.com/req/202106291/images/players/kaminfr01.jpg,1,Frank Kaminsky,https://www.basketball-reference.com/req/202106291/images/players/kaminfr01.jpg
kaunsa01,https://www.basketball-reference.com/req/202106291/images/players/kaunsa01.jpg,1,Sasha Kaun,https://www.basketball-reference.com/req/202106291/images/players/kaunsa01.jpg
looneke01,https://www.basketball-reference.com/req/202106291/images/players/looneke01.jpg,1,Kevon Looney,https://www.basketball-reference.com/req/202106291/images/players/looneke01.jpg
lylestr01,https://www.basketball-reference.com/req/202106291/images/players/lylestr01.jpg,1,Trey Lyles,https://www.basketball-reference.com/req/202106291/images/players/lylestr01.jpg
marjabo01,https://www.basketball-reference.com/req/202106291/images/players/marjabo01.jpg,1,Boban Marjanović,https://www.basketball-reference.com/req/202106291/images/players/marjabo01.jpg
martija01,https://www.basketball-reference.com/req/202106291/images/players/martija01.jpg,1,Jarell Martin,https://www.basketball-reference.com/req/202106291/images/players/martija01.jpg
mccontj01,https://www.basketball-reference.com/req/202106291/images/players/mccontj01.jpg,1,T.J. McConnell,https://www.basketball-reference.com/req/202106291/images/players/mccontj01.jpg
mcculch01,https://www.basketball-reference.com/req/202106291/images/players/mcculch01.jpg,1,Chris McCullough,https://www.basketball-reference.com/req/202106291/images/players/mcculch01.jpg
mcraejo01,https://www.basketball-reference.com/req/202106291/images/players/mcraejo01.jpg,1,Jordan McRae,https://www.basketball-reference.com/req/202106291/images/players/mcraejo01.jpg
mejrisa01,https://www.basketball-reference.com/req/202106291/images/players/mejrisa01.jpg,1,Salah Mejri,https://www.basketball-reference.com/req/202106291/images/players/mejrisa01.jpg
mickejo01,https://www.basketball-reference.com/req/202106291/images/players/mickejo01.jpg,1,Jordan Mickey,https://www.basketball-reference.com/req/202106291/images/players/mickejo01.jpg
montelu01,https://www.basketball-reference.com/req/202106291/images/players/montelu01.jpg,1,Luis Montero,https://www.basketball-reference.com/req/202106291/images/players/montelu01.jpg
mudiaem01,https://www.basketball-reference.com/req/202106291/images/players/mudiaem01.jpg,1,Emmanuel Mudiay,https://www.basketball-reference.com/req/202106291/images/players/mudiaem01.jpg
munfoxa02,https://www.basketball-reference.com/req/202106291/images/players/munfoxa02.jpg,1,Xavier Munford,https://www.basketball-reference.com/req/202106291/images/players/munfoxa02.jpg
nancela02,https://www.basketball-reference.com/req/202106291/images/players/nancela02.jpg,1,Larry Nance Jr.,https://www.basketball-reference.com/req/202106291/images/players/nancela02.jpg
netora01,https://www.basketball-reference.com/req/202106291/images/players/netora01.jpg,1,Raul Neto,https://www.basketball-reference.com/req/202106291/images/players/netora01.jpg
obriejj01,https://www.basketball-reference.com/req/202106291/images/players/obriejj01.jpg,1,J.J. O'Brien,https://www.basketball-reference.com/req/202106291/images/players/obriejj01.jpg
okafoja01,https://www.basketball-reference.com/req/202106291/images/players/okafoja01.jpg,1,Jahlil Okafor,https://www.basketball-reference.com/req/202106291/images/players/okafoja01.jpg
oubreke01,https://www.basketball-reference.com/req/202106291/images/players/oubreke01.jpg,1,Kelly Oubre Jr.,https://www.basketball-reference.com/req/202106291/images/players/oubreke01.jpg
pattela01,https://www.basketball-reference.com/req/202106291/images/players/pattela01.jpg,1,Lamar Patterson,https://www.basketball-reference.com/req/202106291/images/players/pattela01.jpg
payneca01,https://www.basketball-reference.com/req/202106291/images/players/payneca01.jpg,1,Cameron Payne,https://www.basketball-reference.com/req/202106291/images/players/payneca01.jpg
pleisti01,https://www.basketball-reference.com/req/202106291/images/players/pleisti01.jpg,1,Tibor Pleiß,https://www.basketball-reference.com/req/202106291/images/players/pleisti01.jpg
portibo01,https://www.basketball-reference.com/req/202106291/images/players/portibo01.jpg,1,Bobby Portis,https://www.basketball-reference.com/req/202106291/images/players/portibo01.jpg
porzikr01,https://www.basketball-reference.com/req/202106291/images/players/porzikr01.jpg,1,Kristaps Porziņģis,https://www.basketball-reference.com/req/202106291/images/players/porzikr01.jpg
powelno01,https://www.basketball-reference.com/req/202106291/images/players/powelno01.jpg,1,Norman Powell,https://www.basketball-reference.com/req/202106291/images/players/powelno01.jpg
reedwi02,https://www.basketball-reference.com/req/202106291/images/players/reedwi02.jpg,1,Willie Reed,https://www.basketball-reference.com/req/202106291/images/players/reedwi02.jpg
richajo01,https://www.basketball-reference.com/req/202106291/images/players/richajo01.jpg,1,Josh Richardson,https://www.basketball-reference.com/req/202106291/images/players/richajo01.jpg
roziete01,https://www.basketball-reference.com/req/202106291/images/players/roziete01.jpg,1,Terry Rozier,https://www.basketball-reference.com/req/202106291/images/players/roziete01.jpg
russeda01,https://www.basketball-reference.com/req/202106291/images/players/russeda01.jpg,1,D'Angelo Russell,https://www.basketball-reference.com/req/202106291/images/players/russeda01.jpg
