POSITION	SEASON	GP	PPG	PER	MPG	RPG	APG	SPG	BPG	TPG	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	MIN	PTS	REB	AST	STL	BLK	TOV	PF	+/-
Small Forward	1989-90	4195	12.3	15.4	25.3	4.4	2.1	0.9	0.4	1.6	4.8	10.0	48.1	0.2	0.7	30.0	2.4	3.1	77.1	106,315	51,391	18,408	9,011	3,759	1,833	6,688	9,981	
Power Forward	1989-90	4864	10.4	14.9	22.9	5.4	1.3	0.7	0.6	1.4	4.0	8.1	49.2	0.1	0.2	26.6	2.3	3.1	74.1	111,534	50,465	26,336	6,167	3,164	2,876	6,972	12,734	
Center	1989-90	4520	8.8	14.1	22.1	5.8	1.0	0.5	1.1	1.3	3.4	7.0	48.7	0.1	0.2	30.1	1.9	2.6	71.9	99,889	39,593	26,050	4,633	2,432	4,922	6,040	11,842	
Point Guard	1990-91	4347	10.5	15.9	24.8	2.4	5.2	1.2	0.1	1.8	4.0	8.7	46.2	0.4	1.2	32.7	2.0	2.5	80.0	107,826	45,534	10,596	22,804	5,136	625	8,009	8,300	
Shooting Guard	1990-91	4536	12.0	15.3	24.4	2.9	2.7	1.0	0.3	1.6	4.6	10.0	46.3	0.4	1.3	33.1	2.3	2.9	80.7	110,715	54,211	13,269	12,384	4,649	1,304	7,113	9,517	
Small Forward	1990-91	4354	12.0	15	25.1	4.3	2.0	0.9	0.5	1.6	4.7	10.0	47.3	0.2	0.7	31.1	2.3	3.0	77.9	109,106	52,267	18,682	8,592	3,748	2,009	6,872	9,808	
Power Forward	1990-91	4929	9.7	14.9	22.7	5.6	1.4	0.6	0.6	1.4	3.8	7.7	48.9	0.1	0.3	29.3	2.1	2.8	72.8	112,069	47,989	27,712	6,894	3,187	2,990	6,872	12,377	
Center	1990-91	4382	8.1	13.7	21.8	5.8	0.9	0.5	1.1	1.3	3.2	6.4	49.1	0.0	0.1	22.2	1.7	2.5	70.7	95,544	35,369	25,517	4,108	2,294	4,696	5,683	11,302	
Point Guard	1991-92	4551	9.7	14.9	24.0	2.2	4.9	1.2	0.2	1.8	3.8	8.4	44.9	0.4	1.2	33.1	1.8	2.3	79.6	109,175	44,184	10,228	22,218	5,309	737	8,112	8,243	
Shooting Guard	1991-92	4342	12.2	15.1	25.0	3.0	2.7	1.0	0.3	1.6	4.7	10.2	46.4	0.4	1.3	34.5	2.3	2.8	79.5	108,393	52,921	13,006	11,672	4,429	1,302	6,891	8,787	
Small Forward	1991-92	4384	11.5	14.8	24.3	4.0	1.9	0.8	0.5	1.4	4.6	9.7	47.0	0.3	1.0	33.2	2.0	2.6	76.6	106,481	50,199	17,497	8,342	3,705	2,064	6,230	9,388	
Power Forward	1991-92	4538	10.6	15.7	25.0	6.6	1.5	0.7	0.6	1.4	4.1	8.3	49.4	0.1	0.3	28.6	2.2	3.0	74.0	113,514	47,980	30,143	7,030	3,212	2,930	6,519	11,372	
Center	1991-92	4617	8.2	14.4	21.2	5.6	1.1	0.5	1.1	1.2	3.2	6.6	49.0	0.0	0.1	25.9	1.7	2.4	70.0	97,747	37,871	25,806	4,930	2,476	5,183	5,691	11,437	
