Season,Team,Lg,Salary,player_id
1990-91,Portland Trail Blazers,NBA,395000,abdelal01
1991-92,Portland Trail Blazers,NBA,494000,abdelal01
1992-93,Boston Celtics,NBA,500000,abdelal01
1993-94,Boston Celtics,NBA,805000,abdelal01
1994-95,Sacramento Kings,NBA,650000,abdelal01
Career,(may be incomplete),,2844000,abdelal01
1984-85,Los Angeles Lakers,NBA,1530000,abdulka01
1985-86,Los Angeles Lakers,NBA,2030000,abdulka01
1987-88,Los Angeles Lakers,NBA,2000000,abdulka01
1988-89,Los Angeles Lakers,NBA,3000000,abdulka01
Career,(may be incomplete),,8560000,abdulka01
1990-91,Denver Nuggets,NBA,1660000,abdulma02
1991-92,Denver Nuggets,NBA,2008000,abdulma02
1992-93,Denver Nuggets,NBA,2358000,abdulma02
1993-94,Denver Nuggets,NBA,1825000,abdulma02
1994-95,Denver Nuggets,NBA,2200000,abdulma02
1995-96,Denver Nuggets,NBA,2600000,abdulma02
1996-97,Sacramento Kings,NBA,3100000,abdulma02
1997-98,Sacramento Kings,NBA,3300000,abdulma02
2000-01,Vancouver Grizzlies,NBA,798500,abdulma02
Career,(may be incomplete),,19849500,abdulma02
1997-98,Sacramento Kings,NBA,1226880,abdulta01
1998-99,Sacramento Kings,NBA,1411000,abdulta01
1999-00,Denver Nuggets,NBA,1594920,abdulta01
2000-01,Denver Nuggets,NBA,4500000,abdulta01
2001-02,Denver Nuggets,NBA,5062500,abdulta01
2002-03,Dallas Mavericks,NBA,5625000,abdulta01
2003-04,Dallas Mavericks,NBA,6187500,abdulta01
2004-05,Dallas Mavericks,NBA,6750000,abdulta01
2005-06,Dallas Mavericks,NBA,3656250,abdulta01
2006-07,Dallas Mavericks,NBA,1968750,abdulta01
Career,(may be incomplete),,37982800,abdulta01
1996-97,Vancouver Grizzlies,NBA,2186000,abdursh01
1997-98,Vancouver Grizzlies,NBA,2513760,abdursh01
1998-99,Vancouver Grizzlies,NBA,2842000,abdursh01
1999-00,Vancouver Grizzlies,NBA,9000000,abdursh01
2000-01,Vancouver Grizzlies,NBA,10130000,abdursh01
2001-02,Atlanta Hawks,NBA,11250000,abdursh01
2002-03,Atlanta Hawks,NBA,12375000,abdursh01
2003-04,Atlanta Hawks,NBA,13500000,abdursh01
2004-05,Portland Trail Blazers,NBA,14625000,abdursh01
2005-06,Sacramento Kings,NBA,5000000,abdursh01
2006-07,Sacramento Kings,NBA,5400000,abdursh01
2007-08,Sacramento Kings,NBA,5800000,abdursh01
2009-10,Sacramento Kings,NBA,6600000,abdursh01
Career,(may be incomplete),,101221760,abdursh01
2016-17,Oklahoma City Thunder,NBA,5994764,abrinal01
2017-18,Oklahoma City Thunder,NBA,5725000,abrinal01
2018-19,Oklahoma City Thunder,NBA,3575183,abrinal01
Career,(may be incomplete),,15294947,abrinal01
2020-21,Miami Heat,NBA,2582160,achiupr01
2021-22,Toronto Raptors,NBA,2711280,achiupr01
Career,(may be incomplete),,5293440,achiupr01
2005-06,Detroit Pistons,NBA,398762,ackeral01
2006-07,Detroit Pistons,NBA,839209,ackeral01
2008-09,Los Angeles Clippers,NBA,711517,ackeral01
Career,(may be incomplete),,1949488,ackeral01
1987-88,Boston Celtics,NBA,75000,acresma01
1988-89,Boston Celtics,NBA,300000,acresma01
1990-91,Orlando Magic,NBA,437000,acresma01
1991-92,Orlando Magic,NBA,547000,acresma01
1992-93,Houston Rockets,NBA,250000,acresma01
Career,(may be incomplete),,1609000,acresma01
2012-13,Toronto Raptors,NBA,665000,acyqu01
2013-14,Toronto Raptors,NBA,788872,acyqu01
2014-15,New York Knicks,NBA,915243,acyqu01
2015-16,Sacramento Kings,NBA,981348,acyqu01
2016-17,Brooklyn Nets,NBA,1914544,acyqu01
2016-17,Dallas Mavericks,NBA,1050961,acyqu01
2017-18,Brooklyn Nets,NBA,1709538,acyqu01
2018-19,Phoenix Suns,NBA,213948,acyqu01
Career,(may be incomplete),,8239454,acyqu01
1984-85,Phoenix Suns,NBA,500000,adamsal01
1985-86,Phoenix Suns,NBA,600000,adamsal01
1987-88,Phoenix Suns,NBA,675000,adamsal01
Career,(may be incomplete),,1775000,adamsal01
2006-07,New Jersey Nets,NBA,412718,adamsha01
2008-09,Los Angeles Clippers,NBA,297163,adamsha01
Career,(may be incomplete),,709881,adamsha01
2018-19,Atlanta Hawks,NBA,236854,adamsja01
2019-20,Portland Trail Blazers,NBA,163356,adamsja01
2019-20,Atlanta Hawks,NBA,100000,adamsja01
Career,(may be incomplete),,500210,adamsja01
2014-15,Memphis Grizzlies,NBA,1344120,adamsjo01
2015-16,Memphis Grizzlies,NBA,1404600,adamsjo01
2016-17,Memphis Grizzlies,NBA,1465080,adamsjo01
Career,(may be incomplete),,4213800,adamsjo01
1985-86,Sacramento Kings,NBA,85000,adamsmi01
1987-88,Denver Nuggets,NBA,160000,adamsmi01
1988-89,Denver Nuggets,NBA,375000,adamsmi01
1990-91,Denver Nuggets,NBA,825000,adamsmi01
1991-92,Washington Bullets,NBA,1309000,adamsmi01
1992-93,Washington Bullets,NBA,1309000,adamsmi01
1993-94,Washington Bullets,NBA,1309000,adamsmi01
1994-95,Charlotte Hornets,NBA,1240000,adamsmi01
Career,(may be incomplete),,6612000,adamsmi01
2013-14,Oklahoma City Thunder,NBA,2090880,adamsst01
2014-15,Oklahoma City Thunder,NBA,2184960,adamsst01
2015-16,Oklahoma City Thunder,NBA,2279040,adamsst01
2016-17,Oklahoma City Thunder,NBA,3140517,adamsst01
2017-18,Oklahoma City Thunder,NBA,22471910,adamsst01
2018-19,Oklahoma City Thunder,NBA,24157304,adamsst01
2019-20,Oklahoma City Thunder,NBA,25842697,adamsst01
2020-21,New Orleans Pelicans,NBA,29592695,adamsst01
2021-22,Memphis Grizzlies,NBA,17073171,adamsst01
Career,(may be incomplete),,128833174,adamsst01
1991-92,New Jersey Nets,NBA,311000,addisra01
1992-93,New Jersey Nets,NBA,522000,addisra01
1994-95,Detroit Pistons,NBA,250000,addisra01
1995-96,Charlotte Hornets,NBA,360000,addisra01
1996-97,Charlotte Hornets,NBA,290000,addisra01
Career,(may be incomplete),,1733000,addisra01
2017-18,Miami Heat,NBA,2490360,adebaba01
2018-19,Miami Heat,NBA,2955840,adebaba01
2019-20,Miami Heat,NBA,3454080,adebaba01
2020-21,Miami Heat,NBA,5115492,adebaba01
2021-22,Miami Heat,NBA,28103550,adebaba01
Career,(may be incomplete),,42119322,adebaba01
2018-19,Cleveland Cavaliers,NBA,0,adelde01
Career,(may be incomplete),,0,adelde01
2010-11,Golden State Warriors,NBA,342666,adrieje01
2011-12,Houston Rockets,NBA,270427,adrieje01
2012-13,Charlotte Bobcats,NBA,804131,adrieje01
2013-14,Charlotte Bobcats,NBA,916099,adrieje01
2014-15,Houston Rockets,NBA,981084,adrieje01
Career,(may be incomplete),,3314407,adrieje01
2007-08,Detroit Pistons,NBA,944520,afflaar01
2008-09,Detroit Pistons,NBA,1015440,afflaar01
2009-10,Denver Nuggets,NBA,1086240,afflaar01
2010-11,Denver Nuggets,NBA,1959577,afflaar01
2011-12,Denver Nuggets,NBA,7562500,afflaar01
2012-13,Orlando Magic,NBA,7750000,afflaar01
2013-14,Orlando Magic,NBA,7312500,afflaar01
2014-15,Portland Trail Blazers,NBA,7750000,afflaar01
2015-16,New York Knicks,NBA,8000000,afflaar01
2016-17,Sacramento Kings,NBA,12500000,afflaar01
2017-18,Sacramento Kings,NBA,1500000,afflaar01
2017-18,Orlando Magic,NBA,1471382,afflaar01
Career,(may be incomplete),,58852159,afflaar01
2006-07,Dallas Mavericks,NBA,906480,agerma01
2007-08,New Jersey Nets,NBA,974400,agerma01
2008-09,New Jersey Nets,NBA,1042440,agerma01
2010-11,Minnesota Timberwolves,NBA,83305,agerma01
Career,(may be incomplete),,3006625,agerma01
1984-85,Dallas Mavericks,NBA,800000,aguirma01
1985-86,Dallas Mavericks,NBA,626240,aguirma01
1987-88,Dallas Mavericks,NBA,715700,aguirma01
1988-89,Dallas Mavericks,NBA,715700,aguirma01
1990-91,Detroit Pistons,NBA,1115000,aguirma01
1991-92,Detroit Pistons,NBA,1232000,aguirma01
1992-93,Detroit Pistons,NBA,1351000,aguirma01
1993-94,Detroit Pistons,NBA,1471000,aguirma01
1993-94,Los Angeles Clippers,NBA,150000,aguirma01
Career,(may be incomplete),,8176640,aguirma01
2008-09,San Antonio Spurs,NBA,125562,ahearbl01
Career,(may be incomplete),,125562,ahearbl01
1984-85,Boston Celtics,NBA,400000,aingeda01
1985-86,Boston Celtics,NBA,550000,aingeda01
1987-88,Boston Celtics,NBA,625000,aingeda01
1988-89,Boston Celtics,NBA,675000,aingeda01
1990-91,Portland Trail Blazers,NBA,725000,aingeda01
1991-92,Portland Trail Blazers,NBA,725000,aingeda01
1992-93,Phoenix Suns,NBA,1330000,aingeda01
1993-94,Phoenix Suns,NBA,1690000,aingeda01
1994-95,Phoenix Suns,NBA,2080000,aingeda01
Career,(may be incomplete),,8800000,aingeda01
2008-09,Charlotte Bobcats,NBA,1276320,ajincal01
2009-10,Charlotte Bobcats,NBA,1372080,ajincal01
2010-11,Toronto Raptors,NBA,1467840,ajincal01
2014-15,New Orleans Pelicans,NBA,981084,ajincal01
2015-16,New Orleans Pelicans,NBA,4300000,ajincal01
2016-17,New Orleans Pelicans,NBA,4600000,ajincal01
2017-18,New Orleans Pelicans,NBA,4961798,ajincal01
2018-19,Los Angeles Clippers,NBA,5285394,ajincal01
Career,(may be incomplete),,24244516,ajincal01
2013-14,Memphis Grizzlies,NBA,788872,akognjo01
Career,(may be incomplete),,788872,akognjo01
2010-11,Toronto Raptors,NBA,770000,alabiso01
2011-12,Toronto Raptors,NBA,830000,alabiso01
Career,(may be incomplete),,1600000,alabiso01
1987-88,Washington Bullets,NBA,232500,alarima01
1988-89,Washington Bullets,NBA,250000,alarima01
1990-91,Washington Bullets,NBA,500000,alarima01
1991-92,Washington Bullets,NBA,550000,alarima01
Career,(may be incomplete),,1532500,alarima01
2021-22,Memphis Grizzlies,NBA,1994520,aldamsa01
Career,(may be incomplete),,1994520,aldamsa01
2014-15,Philadelphia 76ers,NBA,3000000,aldemfu01
2015-16,Philadelphia 76ers,NBA,3000000,aldemfu01
Career,(may be incomplete),,6000000,aldemfu01
2010-11,Oklahoma City Thunder,NBA,2126520,aldrico01
2011-12,Oklahoma City Thunder,NBA,2286000,aldrico01
2012-13,Sacramento Kings,NBA,2445480,aldrico01
2014-15,New York Knicks,NBA,981084,aldrico01
2015-16,Los Angeles Clippers,NBA,1100600,aldrico01
2016-17,Minnesota Timberwolves,NBA,7643979,aldrico01
2017-18,Minnesota Timberwolves,NBA,7300000,aldrico01
2018-19,Minnesota Timberwolves,NBA,685341,aldrico01
2019-20,Minnesota Timberwolves,NBA,685340,aldrico01
2020-21,Minnesota Timberwolves,NBA,685340,aldrico01
Career,(may be incomplete),,25939684,aldrico01
2006-07,Portland Trail Blazers,NBA,4027320,aldrila01
2007-08,Portland Trail Blazers,NBA,4329360,aldrila01
2008-09,Portland Trail Blazers,NBA,4631400,aldrila01
2009-10,Portland Trail Blazers,NBA,5844827,aldrila01
2010-11,Portland Trail Blazers,NBA,11244000,aldrila01
2011-12,Portland Trail Blazers,NBA,12372000,aldrila01
2012-13,Portland Trail Blazers,NBA,13500000,aldrila01
2013-14,Portland Trail Blazers,NBA,14128000,aldrila01
2014-15,Portland Trail Blazers,NBA,16006000,aldrila01
2015-16,San Antonio Spurs,NBA,19500000,aldrila01
2016-17,San Antonio Spurs,NBA,20575005,aldrila01
2017-18,San Antonio Spurs,NBA,21461010,aldrila01
2018-19,San Antonio Spurs,NBA,22347015,aldrila01
2019-20,San Antonio Spurs,NBA,26000000,aldrila01
2020-21,San Antonio Spurs,NBA,16750000,aldrila01
2020-21,Brooklyn Nets,NBA,554988,aldrila01
2021-22,Brooklyn Nets,NBA,2641691,aldrila01
Career,(may be incomplete),,215912616,aldrila01
2015-16,Portland Trail Blazers,NBA,525093,alexacl01
2016-17,Brooklyn Nets,NBA,51449,alexacl01
Career,(may be incomplete),,576542,alexacl01
1995-96,San Antonio Spurs,NBA,490000,alexaco01
1996-97,San Antonio Spurs,NBA,521000,alexaco01
1997-98,San Antonio Spurs,NBA,562380,alexaco01
1999-00,Denver Nuggets,NBA,1980000,alexaco01
2000-01,Denver Nuggets,NBA,2160000,alexaco01
2001-02,Denver Nuggets,NBA,1995741,alexaco01
2002-03,Denver Nuggets,NBA,2149259,alexaco01
2003-04,Denver Nuggets,NBA,2302778,alexaco01
Career,(may be incomplete),,12161158,alexaco01
2000-01,Dallas Mavericks,NBA,1319400,alexaco02
2001-02,Washington Wizards,NBA,1418400,alexaco02
2002-03,New Orleans Hornets,NBA,1517280,alexaco02
2003-04,New Orleans Hornets,NBA,2168193,alexaco02
2004-05,Sacramento Kings,NBA,79029,alexaco02
Career,(may be incomplete),,6502302,alexaco02
1994-95,Cleveland Cavaliers,NBA,150000,alexaga01
Career,(may be incomplete),,150000,alexaga01
2008-09,Milwaukee Bucks,NBA,2403120,alexajo01
2009-10,Chicago Bulls,NBA,2583360,alexajo01
2010-11,New Orleans Hornets,NBA,90465,alexajo01
Career,(may be incomplete),,5076945,alexajo01
2019-20,Miami Heat,NBA,0,alexaky01
Career,(may be incomplete),,0,alexaky01
2019-20,New Orleans Pelicans,NBA,2964840,alexani01
2020-21,New Orleans Pelicans,NBA,3113160,alexani01
2021-22,Utah Jazz,NBA,3261480,alexani01
Career,(may be incomplete),,9339480,alexani01
2020-21,Phoenix Suns,NBA,0,alexaty01
Career,(may be incomplete),,0,alexaty01
1991-92,Golden State Warriors,NBA,750000,alexavi01
1992-93,Golden State Warriors,NBA,942000,alexavi01
1993-94,Golden State Warriors,NBA,1160000,alexavi01
1994-95,Golden State Warriors,NBA,1377500,alexavi01
1995-96,Toronto Raptors,NBA,1595000,alexavi01
2001-02,Detroit Pistons,NBA,653350,alexavi01
Career,(may be incomplete),,6477850,alexavi01
1987-88,Dallas Mavericks,NBA,100000,alforst01
1988-89,Golden State Warriors,NBA,150000,alforst01
1990-91,Dallas Mavericks,NBA,250000,alforst01
Career,(may be incomplete),,500000,alforst01
2018-19,Chicago Bulls,NBA,0,alkinra01
Career,(may be incomplete),,0,alkinra01
2018-19,Utah Jazz,NBA,2074320,allengr01
2019-20,Memphis Grizzlies,NBA,2277563,allengr01
2020-21,Memphis Grizzlies,NBA,2545320,allengr01
2021-22,Milwaukee Bucks,NBA,4054695,allengr01
Career,(may be incomplete),,10951898,allengr01
2017-18,Brooklyn Nets,NBA,1713720,allenja01
2018-19,Brooklyn Nets,NBA,2034120,allenja01
2019-20,Brooklyn Nets,NBA,2376840,allenja01
2020-21,Cleveland Cavaliers,NBA,3909902,allenja01
2021-22,Cleveland Cavaliers,NBA,20000000,allenja01
Career,(may be incomplete),,30034582,allenja01
1995-96,Minnesota Timberwolves,NBA,200000,allenje01
1996-97,Indiana Pacers,NBA,247500,allenje01
1997-98,Cleveland Cavaliers,NBA,35000,allenje01
1999-00,Milwaukee Bucks,NBA,510000,allenje01
Career,(may be incomplete),,992500,allenje01
2017-18,Boston Celtics,NBA,0,allenka01
2018-19,New York Knicks,NBA,0,allenka01
Career,(may be incomplete),,0,allenka01
2011-12,Philadelphia 76ers,NBA,473604,allenla01
2012-13,Philadelphia 76ers,NBA,3000000,allenla01
2013-14,Philadelphia 76ers,NBA,3060000,allenla01
2014-15,Indiana Pacers,NBA,948163,allenla01
2015-16,Indiana Pacers,NBA,3700000,allenla01
2016-17,Indiana Pacers,NBA,4000000,allenla01
Career,(may be incomplete),,15181767,allenla01
2001-02,Miami Heat,NBA,332817,allenma01
2002-03,Miami Heat,NBA,512435,allenma01
2003-04,Miami Heat,NBA,1510000,allenma01
2004-05,Miami Heat,NBA,1950625,allenma01
2005-06,Chicago Bulls,NBA,1670000,allenma01
2006-07,Chicago Bulls,NBA,1803600,allenma01
2007-08,Dallas Mavericks,NBA,998398,allenma01
2008-09,Milwaukee Bucks,NBA,1300000,allenma01
2009-10,Denver Nuggets,NBA,1300000,allenma01
2010-11,Orlando Magic,NBA,1229255,allenma01
Career,(may be incomplete),,12607130,allenma01
1996-97,Milwaukee Bucks,NBA,1785000,allenra02
1997-98,Milwaukee Bucks,NBA,2052360,allenra02
1998-99,Milwaukee Bucks,NBA,2320000,allenra02
1999-00,Milwaukee Bucks,NBA,9000000,allenra02
2000-01,Milwaukee Bucks,NBA,10130000,allenra02
2001-02,Milwaukee Bucks,NBA,11250000,allenra02
2002-03,Milwaukee Bucks,NBA,12375000,allenra02
2003-04,Seattle SuperSonics,NBA,13500000,allenra02
2004-05,Seattle SuperSonics,NBA,14625000,allenra02
2005-06,Seattle SuperSonics,NBA,13223140,allenra02
2006-07,Seattle SuperSonics,NBA,14611570,allenra02
2007-08,Boston Celtics,NBA,16000000,allenra02
2008-09,Boston Celtics,NBA,18388430,allenra02
2009-10,Boston Celtics,NBA,18776860,allenra02
2010-11,Boston Celtics,NBA,10000000,allenra02
2011-12,Boston Celtics,NBA,10000000,allenra02
2012-13,Miami Heat,NBA,3090000,allenra02
2013-14,Miami Heat,NBA,3229050,allenra02
Career,(may be incomplete),,184356410,allenra02
2004-05,Boston Celtics,NBA,901920,allento01
2005-06,Boston Celtics,NBA,969696,allento01
2006-07,Boston Celtics,NBA,1037280,allento01
2007-08,Boston Celtics,NBA,1868141,allento01
2008-09,Boston Celtics,NBA,2500000,allento01
2009-10,Boston Celtics,NBA,2500000,allento01
2010-11,Memphis Grizzlies,NBA,3000000,allento01
2011-12,Memphis Grizzlies,NBA,3150000,allento01
2012-13,Memphis Grizzlies,NBA,3300000,allento01
2013-14,Memphis Grizzlies,NBA,4494382,allento01
2014-15,Memphis Grizzlies,NBA,4831461,allento01
2015-16,Memphis Grizzlies,NBA,5168539,allento01
2016-17,Memphis Grizzlies,NBA,5505618,allento01
2017-18,Chicago Bulls,NBA,1471382,allento01
Career,(may be incomplete),,40698419,allento01
2007-08,Utah Jazz,NBA,1005960,almonmo01
2008-09,Utah Jazz,NBA,1081440,almonmo01
Career,(may be incomplete),,2087400,almonmo01
1994-95,Philadelphia 76ers,NBA,150000,alstode01
1995-96,Philadelphia 76ers,NBA,350000,alstode01
Career,(may be incomplete),,500000,alstode01
1999-00,Milwaukee Bucks,NBA,301875,alstora01
2000-01,Milwaukee Bucks,NBA,423500,alstora01
2001-02,Milwaukee Bucks,NBA,625000,alstora01
2002-03,Toronto Raptors,NBA,37344,alstora01
2003-04,Miami Heat,NBA,688679,alstora01
2004-05,Toronto Raptors,NBA,3500000,alstora01
2005-06,Houston Rockets,NBA,3850000,alstora01
2006-07,Houston Rockets,NBA,4200000,alstora01
2007-08,Houston Rockets,NBA,4550000,alstora01
2008-09,Orlando Magic,NBA,4900000,alstora01
2009-10,New Jersey Nets,NBA,4300000,alstora01
2009-10,Miami Heat,NBA,753133,alstora01
Career,(may be incomplete),,28129531,alstora01
2021-22,New Orleans Pelicans,NBA,0,alvarjo01
Career,(may be incomplete),,1500000,alvarjo01
1995-96,Cleveland Cavaliers,NBA,200000,amaecjo01
1999-00,Orlando Magic,NBA,385000,amaecjo01
2000-01,Orlando Magic,NBA,600000,amaecjo01
2001-02,Utah Jazz,NBA,2175000,amaecjo01
2002-03,Utah Jazz,NBA,2392500,amaecjo01
2003-04,New York Knicks,NBA,2610000,amaecjo01
2004-05,New York Knicks,NBA,1200000,amaecjo01
Career,(may be incomplete),,9562500,amaecjo01
1995-96,Vancouver Grizzlies,NBA,225000,amayaas01
1996-97,Washington Bullets,NBA,247500,amayaas01
Career,(may be incomplete),,472500,amayaas01
2010-11,Los Angeles Clippers,NBA,2563320,aminual01
2011-12,New Orleans Hornets,NBA,2755560,aminual01
2012-13,New Orleans Hornets,NBA,2947800,aminual01
2013-14,New Orleans Pelicans,NBA,3700000,aminual01
2014-15,Dallas Mavericks,NBA,981084,aminual01
2015-16,Portland Trail Blazers,NBA,7500000,aminual01
2016-17,Portland Trail Blazers,NBA,7680965,aminual01
2017-18,Portland Trail Blazers,NBA,7319035,aminual01
2018-19,Portland Trail Blazers,NBA,6957105,aminual01
2019-20,Orlando Magic,NBA,9258000,aminual01
2020-21,Chicago Bulls,NBA,9720900,aminual01
2021-22,San Antonio Spurs,NBA,10183800,aminual01
2021-22,Boston Celtics,NBA,151821,aminual01
Career,(may be incomplete),,71719390,aminual01
2006-07,Philadelphia 76ers,NBA,105696,amundlo01
2006-07,Sacramento Kings,NBA,75000,amundlo01
2006-07,Utah Jazz,NBA,35232,amundlo01
2007-08,Philadelphia 76ers,NBA,687456,amundlo01
2008-09,Phoenix Suns,NBA,797581,amundlo01
2009-10,Phoenix Suns,NBA,855189,amundlo01
2010-11,Golden State Warriors,NBA,2225000,amundlo01
2011-12,Indiana Pacers,NBA,2403000,amundlo01
2012-13,Minnesota Timberwolves,NBA,1069509,amundlo01
2014-15,New York Knicks,NBA,409167,amundlo01
2015-16,New York Knicks,NBA,1650000,amundlo01
2016-17,New York Knicks,NBA,1551659,amundlo01
Career,(may be incomplete),,11864489,amundlo01
2005-06,Charlotte Bobcats,NBA,398762,anderal01
2006-07,Charlotte Bobcats,NBA,102131,anderal01
2012-13,Toronto Raptors,NBA,885120,anderal01
2013-14,Brooklyn Nets,NBA,947907,anderal01
2014-15,Brooklyn Nets,NBA,1276061,anderal01
2015-16,Washington Wizards,NBA,4000000,anderal01
2016-17,Los Angeles Clippers,NBA,1315448,anderal01
Career,(may be incomplete),,8925429,anderal01
2001-02,Denver Nuggets,NBA,288171,anderch01
2002-03,Denver Nuggets,NBA,512435,anderch01
2003-04,Denver Nuggets,NBA,638679,anderch01
2004-05,New Orleans Hornets,NBA,1600000,anderch01
2005-06,New Orleans/Oklahoma City Hornets,NBA,3500000,anderch01
2008-09,Denver Nuggets,NBA,998398,anderch01
2009-10,Denver Nuggets,NBA,3650000,anderch01
2010-11,Denver Nuggets,NBA,4533300,anderch01
2011-12,Denver Nuggets,NBA,4234000,anderch01
2012-13,Denver Nuggets,NBA,4526000,anderch01
2012-13,Miami Heat,NBA,699952,anderch01
2013-14,Miami Heat,NBA,1399507,anderch01
2014-15,Miami Heat,NBA,5375000,anderch01
2015-16,Memphis Grizzlies,NBA,5000000,anderch01
2016-17,Charlotte Hornets,NBA,1551659,anderch01
Career,(may be incomplete),,38507101,anderch01
2009-10,Houston Rockets,NBA,2300000,anderda03
2010-11,New Orleans Hornets,NBA,2500000,anderda03
Career,(may be incomplete),,4800000,anderda03
1997-98,Cleveland Cavaliers,NBA,1107240,anderde01
1998-99,Cleveland Cavaliers,NBA,1273000,anderde01
1999-00,Los Angeles Clippers,NBA,1439400,anderde01
2000-01,San Antonio Spurs,NBA,2250000,anderde01
2001-02,Portland Trail Blazers,NBA,6495000,anderde01
2002-03,Portland Trail Blazers,NBA,7144500,anderde01
2003-04,Portland Trail Blazers,NBA,7794000,anderde01
2004-05,Portland Trail Blazers,NBA,8443500,anderde01
2005-06,Portland Trail Blazers,NBA,9093000,anderde01
2005-06,Houston Rockets,NBA,1670000,anderde01
2006-07,Portland Trail Blazers,NBA,9742500,anderde01
2006-07,Charlotte Bobcats,NBA,901397,anderde01
2006-07,Miami Heat,NBA,400000,anderde01
2007-08,Charlotte Bobcats,NBA,1219590,anderde01
Career,(may be incomplete),,58973127,anderde01
1992-93,New York Knicks,NBA,140000,anderer01
1993-94,New York Knicks,NBA,250000,anderer01
Career,(may be incomplete),,390000,anderer01
1987-88,San Antonio Spurs,NBA,185000,andergr01
1988-89,San Antonio Spurs,NBA,200000,andergr01
1990-91,Denver Nuggets,NBA,1365000,andergr01
1991-92,Denver Nuggets,NBA,1465000,andergr01
1993-94,Detroit Pistons,NBA,650000,andergr01
1994-95,Detroit Pistons,NBA,400000,andergr01
1994-95,Atlanta Hawks,NBA,110000,andergr01
1995-96,San Antonio Spurs,NBA,485000,andergr01
1996-97,San Antonio Spurs,NBA,584000,andergr01
1997-98,Atlanta Hawks,NBA,272250,andergr01
Career,(may be incomplete),,5716250,andergr01
2010-11,San Antonio Spurs,NBA,1361400,anderja01
2011-12,San Antonio Spurs,NBA,1463520,anderja01
2012-13,Houston Rockets,NBA,472427,anderja01
2012-13,San Antonio Spurs,NBA,145749,anderja01
2013-14,Philadelphia 76ers,NBA,916099,anderja01
2015-16,Sacramento Kings,NBA,1015421,anderja01
Career,(may be incomplete),,5374616,anderja01
2015-16,Dallas Mavericks,NBA,1449000,anderju01
2016-17,Philadelphia 76ers,NBA,1514160,anderju01
2017-18,Philadelphia 76ers,NBA,1579440,anderju01
2018-19,Atlanta Hawks,NBA,2516048,anderju01
2019-20,Brooklyn Nets,NBA,294432,anderju01
2020-21,Philadelphia 76ers,NBA,125000,anderju01
2021-22,Indiana Pacers,NBA,334371,anderju01
2021-22,Cleveland Cavaliers,NBA,111457,anderju01
Career,(may be incomplete),,7923908,anderju01
1991-92,New Jersey Nets,NBA,1828000,anderke01
1992-93,New Jersey Nets,NBA,2376000,anderke01
1993-94,New Jersey Nets,NBA,2925000,anderke01
1994-95,New Jersey Nets,NBA,3463200,anderke01
1995-96,New Jersey Nets,NBA,3898000,anderke01
1996-97,Portland Trail Blazers,NBA,4175000,anderke01
1997-98,Portland Trail Blazers,NBA,5010000,anderke01
1998-99,Boston Celtics,NBA,5845000,anderke01
1999-00,Boston Celtics,NBA,6680000,anderke01
2000-01,Boston Celtics,NBA,7520000,anderke01
2001-02,Boston Celtics,NBA,8350000,anderke01
2002-03,Seattle SuperSonics,NBA,9185000,anderke01
2003-04,Indiana Pacers,NBA,1070000,anderke01
2004-05,Atlanta Hawks,NBA,1100000,anderke01
Career,(may be incomplete),,63425200,anderke01
2014-15,San Antonio Spurs,NBA,1093680,anderky01
2015-16,San Antonio Spurs,NBA,1142879,anderky01
2016-17,San Antonio Spurs,NBA,1192080,anderky01
2017-18,San Antonio Spurs,NBA,2151704,anderky01
2018-19,Memphis Grizzlies,NBA,8641000,anderky01
2019-20,Memphis Grizzlies,NBA,9073050,anderky01
2020-21,Memphis Grizzlies,NBA,9505100,anderky01
2021-22,Memphis Grizzlies,NBA,9937150,anderky01
Career,(may be incomplete),,42736643,anderky01
1990-91,Orlando Magic,NBA,725000,anderni01
1991-92,Orlando Magic,NBA,750000,anderni01
1992-93,Orlando Magic,NBA,800000,anderni01
1993-94,Orlando Magic,NBA,2670000,anderni01
1994-95,Orlando Magic,NBA,3090000,anderni01
1995-96,Orlando Magic,NBA,3200000,anderni01
1996-97,Orlando Magic,NBA,3790000,anderni01
1997-98,Orlando Magic,NBA,4000000,anderni01
1998-99,Orlando Magic,NBA,3200000,anderni01
1999-00,Sacramento Kings,NBA,5051906,anderni01
2000-01,Sacramento Kings,NBA,3750000,anderni01
2001-02,Memphis Grizzlies,NBA,5401906,anderni01
2002-03,Cleveland Cavaliers,NBA,6101906,anderni01
Career,(may be incomplete),,42530718,anderni01
1987-88,Portland Trail Blazers,NBA,150000,anderri01
1988-89,Portland Trail Blazers,NBA,375000,anderri01
Career,(may be incomplete),,525000,anderri01
1985-86,Cleveland Cavaliers,NBA,115000,anderro01
1987-88,Indiana Pacers,NBA,200000,anderro01
1988-89,Philadelphia 76ers,NBA,300000,anderro01
1990-91,Philadelphia 76ers,NBA,425000,anderro01
1991-92,Philadelphia 76ers,NBA,1000000,anderro01
1992-93,Philadelphia 76ers,NBA,950000,anderro01
1993-94,Philadelphia 76ers,NBA,300000,anderro01
Career,(may be incomplete),,3290000,anderro01
2008-09,New Jersey Nets,NBA,1225200,anderry01
2009-10,Orlando Magic,NBA,1317120,anderry01
2010-11,Orlando Magic,NBA,1409040,anderry01
2011-12,Orlando Magic,NBA,2244601,anderry01
