"","Season","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Player-additional"
"1","1985-1986","Kareem Abdul-Jabbar*","C",38,"LAL",79,2629,22.7,0.603,0.001,0.328,6,14.2,10.3,15.7,1.2,2.7,11.7,26.6,7.6,3.2,10.8,0.197,4.4,1,5.4,4.9,"abdulka01"
"2","1985-1986","Alvan Adams","C",31,"PHO",78,2005,15.3,0.547,0.003,0.299,8.9,18.1,13.7,22.5,2.4,1.3,21.1,19.4,1.2,2.7,3.9,0.094,0.2,1.5,1.6,1.8,"adamsal01"
"3","1985-1986","Michael Adams","PG",23,"SAC",18,139,8,0.406,0.068,0.273,1.6,3.2,2.4,20.3,3,0.4,18.2,17.5,-0.2,0.1,-0.1,-0.028,-3.6,-0.2,-3.8,-0.1,"adamsmi01"
"4","1985-1986","Mark Aguirre","SF",26,"DAL",74,2501,19.2,0.547,0.042,0.34,7.9,11.6,9.8,20.9,1.2,0.3,14.2,29,3.7,0.9,4.7,0.09,2.3,-2.1,0.3,1.4,"aguirma01"
"5","1985-1986","Danny Ainge","SG",26,"BOS",80,2407,13.6,0.562,0.104,0.194,2.3,8.1,5.4,21.3,1.9,0.2,14.5,15.2,3.6,3.2,6.8,0.136,-0.1,1,0.9,1.8,"aingeda01"
"6","1985-1986","Ron Anderson","SF",27,"TOT",77,1676,14,0.517,0.014,0.202,8.5,9.3,8.9,12.5,1.6,0.2,10.7,18.7,1.6,1.5,3.1,0.09,0.3,-0.4,-0.1,0.8,"anderro01"
"7","1985-1986","Ron Anderson","SF",27,"CLE",17,207,10.4,0.531,0.014,0.216,2.7,11.2,6.9,5.5,0.2,0,6.9,17.2,0.2,0.1,0.3,0.064,-1.9,-0.9,-2.8,0,"anderro01"
"8","1985-1986","Ron Anderson","SF",27,"IND",60,1469,14.5,0.515,0.014,0.2,9.3,9,9.2,13.5,1.8,0.2,11.2,19,1.4,1.4,2.9,0.094,0.6,-0.3,0.3,0.9,"anderro01"
"9","1985-1986","John Bagley","PG",25,"CLE",78,2472,15.2,0.475,0.043,0.249,3.4,8.9,6.1,40.7,2.3,0.2,19.9,19.8,1,2,3,0.059,1.3,-0.7,0.6,1.6,"baglejo01"
"10","1985-1986","James Bailey","PF",28,"NYK",48,1245,12.6,0.516,0.009,0.377,8.8,22.1,15.2,6.1,1.3,2,16.1,20.7,0,2,1.9,0.075,-3.3,0.1,-3.2,-0.4,"baileja01"
"11","1985-1986","Thurl Bailey","PF",24,"UTA",82,2358,15,0.499,0.006,0.257,6.9,15.7,11.4,9.7,0.8,2.7,10.7,23,1,3,4,0.081,-0.5,-0.4,-0.9,0.7,"baileth01"
"12","1985-1986","Greg Ballard","SF",31,"GSW",75,1792,13.4,0.529,0.061,0.221,7.7,17.9,12.6,6,1.7,0.2,7.9,14.9,2.6,1,3.6,0.097,-0.3,-0.7,-1,0.4,"ballagr01"
"13","1985-1986","Gene Banks","SF",26,"CHI",82,2139,15.5,0.559,0.028,0.371,9.1,10,9.5,16.6,1.8,0.3,14.8,17.9,3.7,0.6,4.3,0.097,1.6,-0.9,0.8,1.5,"banksge01"
"14","1985-1986","Ken Bannister","PF",25,"NYK",70,1405,10.4,0.511,0.002,0.52,6.8,19.7,13,4.6,1.5,1.1,18,21.4,-1.3,2,0.7,0.025,-4.2,-0.1,-4.3,-0.8,"bannike01"
"15","1985-1986","Charles Barkley*","PF",22,"PHI",80,2952,22.4,0.619,0.072,0.555,13.4,25.4,19.4,16,2.8,2.4,21.3,22.4,5.4,5.5,10.8,0.176,3.1,2.1,5.1,5.3,"barklch01"
"16","1985-1986","John Battle","SG",23,"ATL",64,639,11.7,0.518,0.032,0.464,2.1,8.6,5.3,16.3,1.7,0.3,15,20.1,0.4,0.6,1,0.074,-2.1,0.2,-1.9,0,"battljo01"
"17","1985-1986","Benoit Benjamin","C",21,"LAC",79,2088,16.1,0.551,0.005,0.464,8.4,23.6,15.9,5.4,1.4,5.3,15.4,18.1,1.7,2.3,4,0.093,-1.6,1.1,-0.5,0.8,"benjabe01"
"18","1985-1986","Kent Benson","C",31,"DET",72,1344,13.8,0.519,0.005,0.2,9.1,20.9,14.8,7.4,2,2.1,11.4,14.8,1.4,1.9,3.2,0.116,-1,1.1,0.2,0.7,"bensoke01"
"19","1985-1986","Larry Bird*","SF",29,"BOS",82,3113,25.6,0.58,0.121,0.306,7.2,20.4,14.2,26.3,2.5,0.9,12.7,27.6,9.6,6.2,15.8,0.244,6.6,2.1,8.7,8.4,"birdla01"
"20","1985-1986","Otis Birdsong","SG",30,"NJN",77,2395,13.4,0.529,0.021,0.199,4.1,5.4,4.7,16.3,1.6,0.4,13.5,22.1,1.4,1.8,3.2,0.064,-0.4,-0.7,-1.1,0.6,"birdsot01"
"21","1985-1986","Uwe Blab","C",23,"DAL",48,409,7.6,0.502,0,0.713,6.9,17.4,12.2,5.1,0.3,1.6,18.5,15.1,-0.1,0.2,0.1,0.01,-4.1,-0.9,-4.9,-0.3,"blabuw01"
"22","1985-1986","Rolando Blackman","SG",26,"DAL",82,2787,19,0.576,0.022,0.366,3.5,7.9,5.7,14.4,1.3,0.5,11,25.2,6.2,0.8,7,0.121,2.2,-1.6,0.6,1.8,"blackro01"
"23","1985-1986","Manute Bol","C",23,"WSB",80,2090,11.2,0.472,0.004,0.309,6.4,18.3,12.4,1.4,0.6,10.6,17.1,7.6,-0.4,4.2,3.9,0.089,-3.8,4.7,0.9,1.5,"bolma01"
"24","1985-1986","Sam Bowie","C",24,"POR",38,1132,15.2,0.539,0,0.467,9.3,23.5,16.4,11.5,0.9,4.8,17.5,17.6,0.9,1.5,2.4,0.1,-0.5,1.6,1.2,0.9,"bowiesa01"
"25","1985-1986","Dudley Bradley","SG",28,"WSB",70,842,10.2,0.417,0.325,0.268,3.1,9.1,6.1,17,4.9,0.2,15.8,13.8,-0.5,1.5,1,0.057,-4.6,4.1,-0.4,0.3,"bradldu01"
"26","1985-1986","Mike Bratz","PG",30,"SAC",33,269,6.9,0.449,0.2,0.257,0.8,8.8,4.8,18.2,2.3,0,17.9,14.3,-0.1,0.2,0.1,0.016,-5.2,0.9,-4.3,-0.2,"bratzmi01"
"27","1985-1986","Randy Breuer","C",25,"MIL",82,1792,14.1,0.521,0.002,0.347,10,18.4,14.3,8.4,1.3,3.8,15.7,17.5,1.2,3.3,4.5,0.12,-0.8,1.3,0.6,1.2,"breuera01"
"28","1985-1986","Ron Brewer","SG",30,"TOT",44,570,8.8,0.438,0.076,0.17,2.7,7.5,5.1,9.6,1.4,0.6,8.7,18.9,-0.2,0.3,0.1,0.008,-3.2,-1.1,-4.2,-0.3,"brewero01"
"29","1985-1986","Ron Brewer","SG",30,"CHI",4,18,-2,0.371,0,0.111,0,0,0,0,0,0,17.5,25.9,-0.1,0,-0.1,-0.229,-9.3,-7.5,-16.8,-0.1,"brewero01"
"30","1985-1986","Ron Brewer","SG",30,"CLE",40,552,9.1,0.441,0.079,0.172,2.8,7.8,5.3,9.9,1.5,0.6,8.3,18.7,-0.2,0.3,0.2,0.016,-3,-0.8,-3.8,-0.3,"brewero01"
"31","1985-1986","Frank Brickowski","C",26,"SEA",40,311,7.1,0.558,0,0.466,5.9,14.8,10.3,9.1,1.7,1.4,24.8,12.5,0,0.4,0.4,0.058,-5.8,1.9,-4,-0.2,"brickfr01"
"32","1985-1986","Junior Bridgeman","SF",32,"LAC",58,1161,12,0.507,0.04,0.264,2.7,9.1,5.9,13.6,1.2,0.4,11.9,19.7,0.7,0.1,0.8,0.033,-1.3,-1.7,-3,-0.3,"bridgju01"
"33","1985-1986","Mike Brittain","C",22,"SAS",32,219,4.4,0.526,0,0.442,5.4,19.8,12.8,2.8,0.6,3.1,28,13.1,-0.3,0.2,0,-0.01,-7.5,-0.1,-7.6,-0.3,"brittmi01"
"34","1985-1986","Tony Brown","SG",25,"CHI",10,132,11.5,0.482,0.049,0.317,4.1,9.8,6.9,14.4,1.8,0.4,7.9,15.6,0.1,0,0.2,0.067,-1.9,-0.5,-2.4,0,"brownto01"
"35","1985-1986","Wallace Bryant","C",26,"TOT",17,218,5.9,0.364,0,0.396,8.6,18,13.4,8.3,1.1,1.2,13.8,12.2,-0.2,0.1,0,-0.004,-5.3,-0.4,-5.7,-0.2,"bryanwa01"
"36","1985-1986","Wallace Bryant","C",26,"DAL",9,154,5.3,0.402,0,0.367,6.6,16.8,11.8,8.5,0.9,0.7,16.7,11.1,-0.1,0.1,0,0,-5.4,-0.1,-5.4,-0.1,"bryanwa01"
"37","1985-1986","Wallace Bryant","C",26,"LAC",8,64,7.2,0.302,0,0.444,13.7,21,17.3,7.9,1.5,2.5,8.5,14.7,-0.1,0.1,0,-0.015,-5,-1.3,-6.2,-0.1,"bryanwa01"
"38","1985-1986","Quinn Buckner","PG",31,"IND",32,419,9.9,0.505,0.01,0.26,2.3,10.8,6.6,27.2,4.5,0.4,32.2,16.7,-0.6,0.7,0.2,0.02,-5,3.4,-1.6,0,"bucknqu01"
"39","1985-1986","Michael Cage","PF",24,"LAC",78,1566,12.3,0.518,0.007,0.408,11.7,17.8,14.7,7.1,1.9,1.2,17.4,15.6,0.7,1,1.7,0.052,-1.6,-0.8,-2.4,-0.2,"cagemi01"
"40","1985-1986","Tony Campbell","SF",23,"DET",82,1292,12.6,0.506,0.015,0.12,6.7,12.9,9.7,4.8,2.2,0.3,11.8,22,0.1,1.3,1.4,0.053,-2.1,-0.5,-2.7,-0.2,"campbto01"
"41","1985-1986","Rick Carlisle","SG",26,"BOS",77,760,7.9,0.5,0.053,0.122,3.4,7.5,5.6,16.8,1.2,0.3,20.1,13.5,0,0.9,0.9,0.056,-3.2,0.2,-3,-0.2,"carliri01"
"42","1985-1986","Antoine Carr","PF",24,"ATL",17,258,14.4,0.553,0,0.29,6.9,15.3,11.1,8,1.3,3.4,11.8,18.8,0.3,0.4,0.7,0.127,-1.6,1.7,0.2,0.1,"carran01"
"43","1985-1986","Kenny Carr","PF",30,"POR",55,1557,13.3,0.546,0.009,0.466,10.6,25.2,17.9,5.9,1.1,1.1,15.9,17,1.3,1.7,3.1,0.095,-1.2,-1.1,-2.3,-0.1,"carrke01"
"44","1985-1986","Joe Barry Carroll","C",27,"GSW",79,2801,17.2,0.516,0.001,0.357,7.2,19.2,13,9.1,1.7,2.8,14.5,26.6,1.1,2.4,3.4,0.059,-0.3,-0.4,-0.7,0.9,"carrojo01"
"45","1985-1986","Butch Carter","SG",27,"TOT",9,67,-1.3,0.369,0.042,0.292,3.2,3.4,3.4,8,0.7,0,20.5,20.8,-0.2,0,-0.2,-0.125,-9.7,-3.5,-13.2,-0.2,"cartebu01"
"46","1985-1986","Butch Carter","SG",27,"NYK",5,31,-5.4,0.296,0.125,0.125,7,3.8,5.5,12.8,1.6,0,41.6,19.5,-0.2,0,-0.2,-0.252,-11.3,-3.2,-14.5,-0.1,"cartebu01"
"47","1985-1986","Butch Carter","SG",27,"PHI",4,36,2.2,0.402,0,0.375,0,3.1,1.6,3.8,0,0,5.1,22,0,0,0,-0.016,-8.3,-3.7,-12,-0.1,"cartebu01"
"48","1985-1986","Bill Cartwright","C",28,"NYK",2,36,8.9,0.526,0,1.429,6,26.4,15.7,18.9,1.4,1.7,34.5,20.2,-0.1,0.1,0,-0.016,-5.4,2.2,-3.1,0,"cartwbi01"
"49","1985-1986","Terry Catledge","PF",22,"PHI",64,1092,12.6,0.502,0.009,0.323,11,16.9,13.9,2.8,1.4,0.4,12.3,20.7,0.6,1.1,1.7,0.074,-2.2,-1.7,-3.9,-0.5,"catlete01"
"50","1985-1986","Bobby Cattage","PF",27,"NJN",29,185,9.8,0.449,0.06,0.53,9,11.6,10.3,2.9,1.5,0,11.3,24.9,-0.1,0.2,0.1,0.025,-3.7,-2.8,-6.5,-0.2,"cattabo01"
"51","1985-1986","Tom Chambers","PF",26,"SEA",66,2019,17.1,0.551,0.052,0.446,7.2,18.3,12.6,10.5,1.3,1.1,14.9,27,2.4,2.5,4.8,0.115,0.4,-0.5,-0.1,1,"chambto01"
"52","1985-1986","Lorenzo Charles","SF",22,"ATL",36,273,11.5,0.587,0,0.409,5.3,10.5,7.9,4.2,0.4,1.3,14.8,18.2,0.3,0.2,0.5,0.086,-1,-0.6,-1.6,0,"charllo01"
"53","1985-1986","Maurice Cheeks*","PG",29,"PHI",82,3270,17.9,0.597,0.019,0.367,1.9,6.1,4,32.3,3,0.5,18.3,16,7.2,3.4,10.6,0.155,2.6,1,3.6,4.6,"cheekma01"
"54","1985-1986","Fred Cofield","PG",24,"NYK",45,469,7.9,0.428,0.082,0.109,1.4,10.1,5.5,26.6,2.1,0.4,20.3,21.6,-0.9,0.6,-0.4,-0.039,-4.8,0.3,-4.5,-0.3,"cofiefr01"
"55","1985-1986","Steve Colter","PG",23,"POR",81,1868,12.7,0.528,0.139,0.275,2.5,8.3,5.4,18,2.8,0.3,14.7,16.6,1.6,1.7,3.3,0.085,-0.8,0.8,0,0.9,"coltest01"
"56","1985-1986","Lester Conner","PG",26,"GSW",36,413,12.8,0.451,0.051,0.397,6.3,10.1,8.1,13,2.7,0.1,8.6,16.6,0.3,0.2,0.5,0.061,-1.4,-0.1,-1.5,0,"connele01"
"57","1985-1986","Darwin Cook","PG",27,"NJN",79,1965,13.1,0.465,0.085,0.177,2.9,7.2,5,26.1,3.7,0.7,16.3,16.4,0.5,2.6,3,0.074,-0.9,2,1.1,1.6,"cookda01"
"58","1985-1986","Jeff Cook","PF",29,"TOT",36,373,9.3,0.486,0.014,0.575,10.4,15.7,13.1,6.8,1.6,1.7,13.3,11.4,0.2,0.4,0.6,0.08,-2.6,0.9,-1.7,0,"cookje01"
"59","1985-1986","Jeff Cook","PF",29,"SAS",34,356,9.4,0.482,0.015,0.612,10.2,15.6,13,7.1,1.7,1.7,11.5,10.9,0.3,0.4,0.7,0.088,-2.4,1.2,-1.2,0.1,"cookje01"
"60","1985-1986","Jeff Cook","PF",29,"UTA",2,17,6.8,0.543,0,0.167,13,18.9,16,0,0,0,31.8,22.4,0,0,0,-0.075,-7.1,-3.6,-10.7,0,"cookje01"
"61","1985-1986","David Cooke","PF",22,"SAC",6,38,6.7,0.292,0,0.909,15,14.8,14.9,3.1,5,0,11.5,18.5,-0.1,0.1,0,-0.043,-4.1,0.4,-3.8,0,"cookeda01"
"62","1985-1986","Michael Cooper","SG",29,"LAL",82,2269,13.5,0.557,0.269,0.281,2.3,9.6,6.1,24.3,1.8,1,18.2,14.8,3.4,2.4,5.8,0.123,0.7,1.1,1.8,2.2,"coopemi01"
"63","1985-1986","Wayne Cooper","C",29,"DEN",78,2112,16.3,0.509,0.008,0.242,9,21.8,15.1,5.2,0.9,5.9,10.5,20.4,1.6,3.5,5.1,0.116,-1.5,1,-0.5,0.8,"coopewa01"
"64","1985-1986","Tyrone Corbin","SF",23,"SAS",16,174,9.7,0.456,0.016,0.219,7.4,8.9,8.2,8.4,2.9,0.6,14.6,19,-0.1,0.2,0.1,0.017,-3.5,-0.3,-3.9,-0.1,"corbity01"
"65","1985-1986","Dave Corzine","C",29,"CHI",67,1709,14.6,0.539,0.023,0.329,8.4,20.7,14.3,12.1,0.8,1.8,14.9,16.6,2,0.9,2.9,0.08,1.2,-0.6,0.6,1.1,"corzida01"
"66","1985-1986","Ron Crevier","C",27,"TOT",3,4,-31.7,0,0,0.667,25.9,0,13.3,0,0,0,0,38,-0.1,0,-0.1,-0.795,-28.1,-14.1,-42.2,0,"creviro01"
"67","1985-1986","Ron Crevier","C",27,"GSW",1,1,-31.1,0,0,0,0,0,0,0,0,0,0,39.3,0,0,0,-0.865,-18.9,-11.7,-30.6,0,"creviro01"
"68","1985-1986","Ron Crevier","C",27,"DET",2,3,-31.9,0,0,1,34.6,0,17.7,0,0,0,0,37.6,0,0,0,-0.771,-31.1,-14.9,-46,0,"creviro01"
"69","1985-1986","Jeff Cross","PF",24,"LAC",21,128,1.5,0.371,0,1.042,7.7,18.4,13,1,0.7,1.3,14.6,12.8,-0.2,0.1,-0.1,-0.038,-9.4,-2,-11.4,-0.3,"crossje01"
"70","1985-1986","Pat Cummings","C",29,"NYK",31,1007,14,0.519,0.005,0.341,9.9,22.2,15.7,7.5,1.3,0.7,15.6,23.1,0,1.5,1.5,0.07,-1.4,-0.2,-1.6,0.1,"cummipa01"
"71","1985-1986","Terry Cummings","PF",24,"MIL",82,2669,18.2,0.503,0.001,0.281,9.4,19.5,14.5,11.1,2.1,1.1,10.6,27.2,2.5,4.9,7.4,0.133,0.9,0,0.9,2,"cummite01"
"72","1985-1986","Earl Cureton","PF",28,"DET",80,2017,11.7,0.523,0.004,0.374,10.2,16.5,13.3,8.4,1.3,1.6,18.6,15.7,0.5,2.1,2.6,0.061,-1.7,0.1,-1.6,0.2,"curetea01"
"73","1985-1986","Quintin Dailey","SG",25,"CHI",35,723,18.1,0.511,0.017,0.421,3,7.8,5.3,15.6,1.5,0.4,10.7,35.1,0.9,0.1,1,0.066,0.6,-2.8,-2.2,0,"dailequ01"
"74","1985-1986","Adrian Dantley*","SF",30,"UTA",76,2744,24.6,0.629,0.008,0.548,7.2,8.5,7.8,16.7,1.1,0.1,11.4,30,10.4,2.3,12.8,0.223,6,-1,4.9,4.8,"dantlad01"
"75","1985-1986","Brad Davis","PG",30,"DAL",82,1971,16.9,0.634,0.177,0.454,1.5,6.6,4.1,30.3,1.4,0.4,15.4,14.7,5.7,0.5,6.2,0.152,2.4,-0.9,1.5,1.8,"davisbr01"
"76","1985-1986","Charles Davis","SF",27,"MIL",57,873,13.9,0.512,0.06,0.189,7.7,13.9,10.9,9.1,1.4,0.5,10.4,22.1,0.8,1.2,2.1,0.114,-0.9,-0.8,-1.7,0.1,"davisch02"
"77","1985-1986","Johnny Davis","SG",30,"TOT",66,1014,13.8,0.515,0.038,0.401,0.9,5.1,3,29.1,1.7,0.2,16.2,19.5,1,0.7,1.7,0.078,-0.1,-0.5,-0.6,0.4,"davisjo01"
"78","1985-1986","Johnny Davis","SG",30,"CLE",39,612,13.7,0.502,0.046,0.333,1.1,5.4,3.2,24.1,1.9,0.4,12.8,20.8,0.5,0.4,0.9,0.067,-0.6,-0.2,-0.8,0.2,"davisjo01"
"79","1985-1986","Johnny Davis","SG",30,"ATL",27,402,13.9,0.542,0.019,0.551,0.6,4.6,2.6,36.9,1.6,0,22.2,17.4,0.5,0.3,0.8,0.095,0.7,-1,-0.3,0.2,"davisjo01"
"80","1985-1986","Walter Davis","SG",31,"PHO",70,2239,18.1,0.536,0.059,0.237,2.9,7.4,5.2,26.5,2,0.1,13.4,29.2,2.5,1.7,4.2,0.091,1.7,-1.3,0.4,1.4,"daviswa03"
"81","1985-1986","Darryl Dawkins","C",29,"NJN",51,1207,19.5,0.68,0.002,0.673,7.9,15.5,11.6,9.7,0.6,2.8,17.8,23,3.1,1.3,4.4,0.175,1.2,0.9,2.1,1.2,"dawkida01"
"82","1985-1986","Darren Daye","SF",25,"WSB",64,1075,16.4,0.552,0.008,0.594,7.2,11.2,9.2,15.6,2.1,0.6,16.3,23.4,1,1.3,2.4,0.105,0.4,0.2,0.5,0.7,"dayeda01"
"83","1985-1986","James Donaldson","C",28,"TOT",83,2682,13,0.627,0,0.553,7.1,25.3,16.3,4.4,0.5,2.8,17.7,10.5,3.4,2.4,5.7,0.103,-0.2,0.2,0.1,1.4,"donalja01"
"84","1985-1986","James Donaldson","C",28,"LAC",14,441,12.7,0.623,0,0.833,6.9,26.2,16.4,3.6,0.5,3.5,24.9,13.9,0.2,0.4,0.6,0.064,-1.7,0.6,-1.1,0.1,"donalja01"
"85","1985-1986","James Donaldson","C",28,"DAL",69,2241,13,0.628,0,0.491,7.2,25.1,16.3,4.6,0.5,2.6,15.7,9.9,3.2,2,5.2,0.11,0.1,0.2,0.3,1.3,"donalja01"
"86","1985-1986","Larry Drew","PG",27,"SAC",75,1971,13.7,0.525,0.04,0.207,1.4,5.7,3.6,24.4,1.6,0.1,13.6,20.1,1.9,0.9,2.8,0.068,-0.3,-1,-1.3,0.3,"drewla01"
"87","1985-1986","Clyde Drexler*","SG",23,"POR",75,2576,19.8,0.53,0.053,0.334,7.5,11,9.3,33.3,3.5,1,17.7,24.4,3.5,3.1,6.7,0.124,3.1,1.2,4.3,4.1,"drexlcl01"
"88","1985-1986","Joe Dumars*","SG",22,"DET",82,1957,12.9,0.548,0.027,0.399,3.2,3.3,3.2,24.8,1.6,0.3,18.4,17.2,2.2,1,3.2,0.079,-0.3,-0.8,-1.1,0.4,"dumarjo01"
"89","1985-1986","T.R. Dunn","SG",30,"DEN",82,2401,9.4,0.493,0.003,0.232,5.9,10.7,8.2,8.2,2.9,0.4,10.9,7.5,1.8,3.1,4.9,0.098,-1.9,2.2,0.3,1.4,"dunntr01"
"90","1985-1986","Devin Durrant","SF",25,"PHO",4,51,4.9,0.373,0,0.19,4.7,13,9,13.4,2.7,0,14.9,20.9,-0.1,0.1,-0.1,-0.065,-5.7,-0.5,-6.1,-0.1,"durrade01"
"91","1985-1986","Mark Eaton","C",29,"UTA",80,2551,12.2,0.499,0,0.343,7.5,21.2,14.4,5.2,0.6,8.1,18.8,13.2,-0.9,4.8,4,0.075,-3,3.2,0.1,1.4,"eatonma01"
"92","1985-1986","Franklin Edwards","PG",26,"LAC",73,1491,13.7,0.511,0.016,0.262,1.8,4.7,3.2,25.5,2.8,0.1,17.6,21,0.3,0.5,0.8,0.026,-0.9,-0.9,-1.8,0.1,"edwarfr01"
"93","1985-1986","James Edwards","C",30,"PHO",52,1314,16.7,0.589,0,0.514,7.2,18.7,13.2,8.7,0.8,1.2,15.1,25.7,1.7,1.3,3,0.11,-0.3,-1.1,-1.3,0.2,"edwarja01"
"94","1985-1986","Craig Ehlo","SG",24,"HOU",36,199,17.5,0.506,0.107,0.345,9.1,15.9,12.5,18.9,2.6,1.1,13.4,21.9,0.3,0.2,0.5,0.126,1.4,0.4,1.9,0.2,"ehlocr01"
"95","1985-1986","Dale Ellis","SF",25,"DAL",72,1086,13.5,0.502,0.368,0.174,8.9,8.1,8.5,4.6,1.7,0.4,7,20.4,1.2,0.4,1.6,0.071,1.1,-2,-0.9,0.3,"ellisda01"
"96","1985-1986","Alex English*","SF",32,"DEN",81,3024,21.7,0.562,0.003,0.314,6.3,7.7,7,17,1.1,0.5,10.4,30.5,7.6,2.3,9.8,0.156,4.4,-1.5,2.9,3.7,"englial01"
"97","1985-1986","Julius Erving*","SF",35,"PHI",74,2474,17.4,0.537,0.029,0.339,7.7,9.1,8.4,15.4,2.2,1.9,14.6,23.8,3.3,2.6,5.9,0.114,1.8,0.3,2.1,2.6,"ervinju01"
"98","1985-1986","Mike Evans","PG",30,"DEN",81,1389,12.4,0.495,0.246,0.208,2.2,5.6,3.8,17.7,2,0,13.7,25.1,-0.1,1.2,1.1,0.037,-1.6,-1.2,-2.8,-0.3,"evansmi01"
"99","1985-1986","Patrick Ewing*","C",23,"NYK",50,1771,17.4,0.526,0.006,0.376,7.6,21.9,14.4,9.6,1.5,3.6,15.3,26.5,0,3.1,3.1,0.084,-0.1,1.2,1.1,1.4,"ewingpa01"
"100","1985-1986","Kenny Fields","SF",23,"MIL",78,1120,13.3,0.547,0.01,0.332,5.9,14.2,10.1,9.7,2.1,0.8,14.4,19.1,1,1.8,2.8,0.12,-1.2,1,-0.2,0.5,"fieldke01"
"101","1985-1986","Vern Fleming","PG",23,"IND",80,2870,15.3,0.558,0.007,0.41,3.9,10.7,7.3,24.5,2.2,0.1,17,17.5,3.6,3.2,6.9,0.115,0.3,0.9,1.1,2.3,"flemive01"
"102","1985-1986","Sleepy Floyd","PG",25,"GSW",82,2764,20,0.587,0.118,0.438,2.9,9,5.8,36.6,2.6,0.3,19.4,21.2,6,1.5,7.5,0.13,3.6,-0.1,3.5,3.9,"floydsl01"
"103","1985-1986","Rod Foster","PG",25,"PHO",48,704,6.6,0.435,0.147,0.147,1.5,7.7,4.7,22.4,1.4,0.1,20.8,16.6,-0.8,0.5,-0.3,-0.02,-3.9,-1,-4.8,-0.5,"fostero01"
"104","1985-1986","World B. Free","SG",32,"CLE",75,2535,19,0.533,0.118,0.339,3.1,6.4,4.7,19.9,1.7,0.4,9.5,29.3,4.5,1.5,6.1,0.115,3.2,-0.9,2.3,2.8,"freewo01"
"105","1985-1986","Bill Garnett","PF",25,"IND",80,1197,10.5,0.548,0.008,0.678,9.7,15.2,12.5,10.2,1.6,1.1,22.7,13.8,0.5,1.5,2,0.078,-2.3,0.9,-1.4,0.2,"garnebi02"
"106","1985-1986","George Gervin*","SG",33,"CHI",82,2065,16,0.534,0.017,0.293,4.1,7.8,5.9,11.2,1.1,0.6,11.5,27.6,2.8,0.2,3,0.069,0.5,-2.6,-2.1,0,"gervige01"
"107","1985-1986","Mike Gibson","PF",25,"DET",32,161,8.7,0.43,0,0.216,9.7,16.9,13.2,3.8,2.3,1.4,9.7,15,0,0.2,0.2,0.059,-4.3,0.3,-4,-0.1,"gibsomi01"
"108","1985-1986","Artis Gilmore*","C",36,"SAS",71,2395,17.1,0.661,0.001,0.705,8.1,20.1,14.3,5.8,0.8,2.5,17.2,18.2,4.8,2.4,7.1,0.143,0.8,0,0.8,1.7,"gilmoar01"
"109","1985-1986","Mike Glenn","SG",30,"MIL",38,573,12,0.555,0,0.258,0.8,10.2,5.5,9.1,0.7,0.3,7.8,16.1,0.9,0.6,1.5,0.128,-0.6,-0.4,-1.1,0.1,"glennmi01"
"110","1985-1986","Georgi Glouchkov","PF",26,"PHO",49,772,5.7,0.455,0.005,0.584,4.8,18.9,12.1,5.3,1.5,1.8,22.4,17.5,-1.4,0.9,-0.5,-0.029,-6.3,0,-6.3,-0.8,"gloucge01"
"111","1985-1986","Mike Gminski","C",26,"NJN",81,2525,19,0.594,0.001,0.414,9.1,20.6,14.8,7.5,1,1.6,11.1,19.9,6.3,2.9,9.2,0.175,2.7,-0.2,2.5,2.9,"gminsmi01"
"112","1985-1986","Lancaster Gordon","SG",23,"LAC",60,704,7.8,0.422,0.081,0.162,3.7,7,5.3,12.7,2.2,0.8,14.4,24.6,-1.3,0.2,-1.1,-0.072,-5.4,-2,-7.4,-1,"gordola01"
"113","1985-1986","Stuart Gray","C",22,"IND",67,423,10.5,0.551,0,0.685,11.6,18.6,15.1,4.8,0.9,1.5,18.5,16.7,0.2,0.5,0.7,0.085,-4,-0.1,-4.1,-0.2,"grayst01"
"114","1985-1986","A.C. Green","PF",22,"LAL",82,1542,11.8,0.564,0.015,0.43,12.4,15.5,14,4.2,1.5,1.7,17.7,14.7,1.4,2,3.3,0.103,-1.6,0.1,-1.6,0.2,"greenac01"
"115","1985-1986","Ken Green","PF",26,"NYK",7,72,19.3,0.501,0,0.333,18,24.7,21.2,4.4,2.7,0,3.1,18.6,0.1,0.1,0.3,0.184,1.5,-1.5,0,0,"greenke01"
"116","1985-1986","Kenny Green","SF",21,"TOT",41,453,8.7,0.471,0.005,0.255,6.5,11.2,8.9,2.9,0.5,1.1,14.1,22.5,-0.4,0.4,0,-0.003,-4.6,-2.4,-7,-0.6,"greenke02"
"117","1985-1986","Kenny Green","SF",21,"WSB",20,221,11.4,0.485,0.01,0.257,8.4,10.3,9.3,2.1,0.9,1.8,13.1,24.5,-0.1,0.2,0.1,0.02,-3.5,-1.5,-5,-0.2,"greenke02"
"118","1985-1986","Kenny Green","SF",21,"PHI",21,232,6,0.455,0,0.253,4.8,12,8.4,3.7,0.2,0.5,15.1,20.7,-0.3,0.1,-0.1,-0.026,-5.6,-3.3,-8.9,-0.4,"greenke02"
