"","Season","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Player-additional"
"13405","2011-2012","Brendan Haywood","C",32,"DAL",54,1146,12.9,0.52,0,0.421,13.7,18,15.9,2.6,1.1,3.8,14.5,12.8,1.1,1.6,2.7,0.114,-2.1,0.2,-1.9,0,"haywobr01"
"13406","2011-2012","Gerald Henderson","SG",24,"CHA",55,1831,14,0.511,0.065,0.282,3.9,10.5,7,13.5,1.4,0.8,11,23,0.8,0.2,1,0.026,-1,-1.7,-2.7,-0.3,"hendege02"
"13407","2011-2012","Xavier Henry","SG",20,"NOH",45,759,9.2,0.45,0.075,0.373,3.8,12.7,8.3,7.6,1.9,0.9,11.7,18.7,-0.4,0.7,0.2,0.015,-3.7,-0.3,-4,-0.4,"henryxa01"
"13408","2011-2012","Roy Hibbert","C",25,"IND",65,1937,19.3,0.539,0.001,0.358,12.5,20.7,16.6,9.9,0.9,5.2,14.2,21.1,3.2,3,6.2,0.154,1,0.4,1.4,1.7,"hibbero01"
"13409","2011-2012","J.J. Hickson","PF",23,"TOT",54,1244,14.9,0.501,0.005,0.342,11.7,19,15.2,5.9,1.2,2.1,13.4,18.7,0.9,0.8,1.7,0.066,-0.8,-1.5,-2.3,-0.1,"hicksjj01"
"13410","2011-2012","J.J. Hickson","PF",23,"SAC",35,644,9.9,0.416,0.006,0.335,10.9,19.7,15.1,5,1.4,1.9,16.4,16,-0.5,0.3,-0.1,-0.009,-2.9,-1.2,-4.1,-0.3,"hicksjj01"
"13411","2011-2012","J.J. Hickson","PF",23,"POR",19,600,20.2,0.568,0.005,0.347,12.6,18.3,15.4,6.9,1.1,2.3,10.9,21.6,1.4,0.5,1.8,0.147,1.5,-1.8,-0.3,0.3,"hicksjj01"
"13412","2011-2012","Cory Higgins","PG",22,"CHA",38,423,4.1,0.402,0.125,0.375,1.8,7.9,4.7,15,0.6,1.1,17.3,24.6,-1.2,-0.1,-1.3,-0.15,-6.6,-3.8,-10.4,-0.9,"higgico01"
"13413","2011-2012","Nenê","C",29,"TOT",39,1110,18.6,0.573,0.01,0.427,6.7,23.3,15.1,12,1.9,2.7,17.1,22.6,1.3,1.4,2.7,0.117,0.4,1,1.4,0.9,"hilarne01"
"13414","2011-2012","Nenê","C",29,"DEN",28,826,16.7,0.554,0.007,0.473,6.3,22.6,14.7,11.7,2.2,2.4,18.5,22.5,0.5,1.1,1.6,0.092,-0.7,0.9,0.2,0.4,"hilarne01"
"13415","2011-2012","Nenê","C",29,"WAS",11,284,24.2,0.624,0.018,0.313,7.9,25.3,16.5,12.8,1.1,3.5,13,23.1,0.8,0.3,1.1,0.191,3.5,1.5,5,0.5,"hilarne01"
"13416","2011-2012","George Hill","PG",25,"IND",50,1274,15.7,0.557,0.387,0.308,2.8,10.5,6.7,18.8,1.7,1.1,10.8,17.2,2.8,1.3,4,0.152,1.8,0.5,2.3,1.4,"hillge01"
"13417","2011-2012","Grant Hill*","SF",39,"PHO",49,1378,12.3,0.5,0.118,0.242,2.4,11.5,7,12.1,1.5,1.5,11.5,18.6,0.6,0.9,1.6,0.055,-1.4,0.5,-0.9,0.4,"hillgr01"
"13418","2011-2012","Jordan Hill","C",24,"TOT",39,551,15.8,0.522,0.018,0.285,12.8,26.3,19.5,4.7,1.3,3.6,14.3,17.9,0.5,0.8,1.4,0.118,-1.8,0.3,-1.5,0.1,"hilljo01"
"13419","2011-2012","Jordan Hill","C",24,"HOU",32,469,15.1,0.529,0.022,0.289,11.5,27,19.2,4.7,1,3.4,13.6,17.1,0.5,0.7,1.1,0.118,-1.7,0.3,-1.4,0.1,"hilljo01"
"13420","2011-2012","Jordan Hill","C",24,"LAL",7,82,19.3,0.492,0,0.267,20,22.1,21.1,4.2,3.2,5.3,17.3,22.6,0,0.2,0.2,0.12,-2.7,0.3,-2.4,0,"hilljo01"
"13421","2011-2012","Kirk Hinrich","SG",31,"ATL",48,1237,9.2,0.511,0.461,0.108,1.1,8.5,4.8,16.3,1.6,0.7,15.8,13.9,0.4,1.4,1.8,0.069,-2.6,0.5,-2.1,-0.1,"hinriki01"
"13422","2011-2012","Darington Hobson","SG",24,"MIL",5,39,-3.3,0.154,0.462,0,0,8.7,4.2,20.9,0,0,13.3,16.9,-0.2,0,-0.2,-0.225,-8.4,-4.5,-13,-0.1,"hobsoda01"
"13423","2011-2012","Jrue Holiday","PG",21,"PHI",65,2196,14.7,0.496,0.205,0.144,2.9,7.9,5.4,21.6,2.5,0.6,13.2,21.8,0.9,3.3,4.2,0.092,-0.5,0.9,0.4,1.3,"holidjr01"
"13424","2011-2012","Ryan Hollins","C",27,"TOT",39,522,6.9,0.56,0,0.893,7.4,10.7,9,2.7,0.5,2.5,23,13.4,-0.1,0.3,0.2,0.023,-5.9,-1,-6.9,-0.6,"holliry01"
"13425","2011-2012","Ryan Hollins","C",27,"CLE",24,362,7,0.555,0,0.982,7.6,10.1,8.8,2.6,0.6,2.5,23,12.9,0,0.1,0.1,0.013,-5.8,-1.4,-7.1,-0.5,"holliry01"
"13426","2011-2012","Ryan Hollins","C",27,"BOS",15,160,6.8,0.571,0,0.714,7,12,9.6,3,0.3,2.4,23,14.3,-0.1,0.2,0.1,0.044,-6.2,-0.2,-6.3,-0.2,"holliry01"
"13427","2011-2012","Tyler Honeycutt","SF",21,"SAC",15,88,10.4,0.382,0.125,0.208,3.6,14.4,8.7,11.5,2.3,2.5,7.1,13.9,0,0.1,0,0.013,-2,-0.2,-2.2,0,"honeyty01"
"13428","2011-2012","Al Horford","C",25,"ATL",11,348,19,0.585,0.01,0.291,8.8,17.1,13,11.7,1.5,3.1,12.1,17.9,0.8,0.6,1.3,0.18,1.8,1.5,3.4,0.5,"horfoal01"
"13429","2011-2012","Dennis Horner","PF",23,"NJN",8,22,6.6,0.434,0.25,1,10.3,16.3,13.2,0,0,0,14.8,14.1,0,0,0,-0.012,-3.4,-4.7,-8.1,0,"hornede01"
"13430","2011-2012","Dwight Howard","C",26,"ORL",54,2070,24.2,0.569,0.01,0.788,11,33.1,21.9,9.8,2.1,4.4,15.2,26.1,3.3,4.4,7.7,0.179,2.2,2,4.3,3.3,"howardw01"
"13431","2011-2012","Josh Howard","SF",31,"UTA",43,991,10.5,0.461,0.102,0.269,4.5,13.9,9.2,7.9,1.7,0.8,11.6,20.7,-0.2,0.7,0.5,0.025,-2.8,-0.9,-3.7,-0.4,"howarjo01"
"13432","2011-2012","Juwan Howard","PF",38,"MIA",28,190,3.6,0.354,0,0.182,11.8,17.6,14.8,7.8,1.1,0.4,25.2,19.4,-0.6,0.3,-0.3,-0.076,-7,-1.9,-8.9,-0.3,"howarju01"
"13433","2011-2012","Lester Hudson","PG",27,"TOT",16,334,13.9,0.483,0.395,0.253,2.3,13.8,7.8,20.6,2.2,0.7,15.1,28.6,-0.1,0.2,0.1,0.012,-1.4,-1.4,-2.7,-0.1,"hudsole01"
"13434","2011-2012","Lester Hudson","PG",27,"CLE",13,314,14.7,0.492,0.404,0.252,2.4,14.7,8.3,21.4,2.3,0.7,15.2,28.3,0,0.2,0.2,0.026,-0.9,-0.8,-1.7,0,"hudsole01"
"13435","2011-2012","Lester Hudson","PG",27,"MEM",3,20,0.4,0.365,0.273,0.273,0,0,0,8.2,0,0,14,32.4,-0.1,0,-0.1,-0.207,-8.5,-9.7,-18.2,-0.1,"hudsole01"
"13436","2011-2012","Larry Hughes","PG",33,"ORL",9,114,-4.8,0.262,0.318,0.091,1,4.1,2.5,9.2,0.9,0,34.4,14.3,-0.5,0,-0.5,-0.193,-11,-0.9,-11.9,-0.3,"hughela01"
"13437","2011-2012","Kris Humphries","PF",26,"NJN",62,2162,17.9,0.539,0,0.414,12.2,24.8,18.3,7.4,1.2,2.6,13,19.3,3.6,1.7,5.3,0.118,0.2,-1.2,-0.9,0.6,"humphkr01"
