season,team,lg,salary,player_id,normalized salary,salary_cap,2022 salary
2015,MEM,NBA,1344120,adamsjo01,0.02131324823594704,63065000,77841847.0
2016,MEM,NBA,1404600,adamsjo01,0.020065714285714287,70000000,85323721.0
2017,MEM,NBA,1465080,adamsjo01,0.015562282910041107,94143000,112368348.0
1986,SAC,NBA,85000,adamsmi01,0.020080321285140562,4233000,11298280.0
1988,DEN,NBA,160000,adamsmi01,0.025957170668397145,6164000,15248702.0
1989,DEN,NBA,375000,adamsmi01,0.05185287610619469,7232000,17069461.0
1991,DEN,NBA,825000,adamsmi01,0.0694970937578974,11871000,25499592.0
1992,WAS,NBA,1309000,adamsmi01,0.10472,12500000,26061180.0
1993,WAS,NBA,1309000,adamsmi01,0.0935,14000000,28354756.0
1994,WAS,NBA,1309000,adamsmi01,0.08626029654036244,15175000,29954782.0
1995,CHA,NBA,1240000,adamsmi01,0.07767476822851416,15964000,30651995.0
2014,OKC,NBA,2090880,adamsst01,0.03563250907479677,58679000,72519787.0
2015,OKC,NBA,2184960,adamsst01,0.03464615872512487,63065000,77841847.0
2016,OKC,NBA,2279040,adamsst01,0.03255771428571429,70000000,85323721.0
2017,OKC,NBA,3140517,adamsst01,0.033359007042477934,94143000,112368348.0
2018,OKC,NBA,22471910,adamsst01,0.22677595793850222,99093000,115455294.0
2019,OKC,NBA,24157304,adamsst01,0.23714087700870726,101869000,116573245.0
2020,OKC,NBA,25842697,adamsst01,0.23678483599047095,109140000,123384194.0
2021,NOP,NBA,29592695,adamsst01,0.2711443558731904,109140000,117838496.0
2022,MEM,NBA,17073171,adamsst01,0.15187762200437668,112414000,112414000.0
1992,BKN,NBA,311000,addisra01,0.02488,12500000,26061180.0
1993,BKN,NBA,522000,addisra01,0.03728571428571428,14000000,28354756.0
1995,DET,NBA,250000,addisra01,0.01566023552994237,15964000,30651995.0
1996,CHA,NBA,360000,addisra01,0.01565217391304348,23000000,42906004.0
1997,CHA,NBA,290000,addisra01,0.01190329598161146,24363000,44402880.0
2018,MIA,NBA,2490360,adebaba01,0.02513154309587963,99093000,115455294.0
2019,MIA,NBA,2955840,adebaba01,0.029016089291148437,101869000,116573245.0
2020,MIA,NBA,3454080,adebaba01,0.03164815832875206,109140000,123384194.0
2021,MIA,NBA,5115492,adebaba01,0.04687091808686091,109140000,117838496.0
2022,MIA,NBA,28103550,adebaba01,0.25000044478445743,112414000,112414000.0
2019,CLE,NBA,0,adelde01,0.0,101869000,116573245.0
2011,GSW,NBA,342666,adrieje01,0.005903555923092826,58044000,75491545.0
2012,HOU,NBA,270427,adrieje01,0.004659000068913238,58044000,73970553.0
2013,CHA,NBA,804131,adrieje01,0.013853817793398112,58044000,72903264.0
2014,CHA,NBA,916099,adrieje01,0.015612041786669847,58679000,72519787.0
2015,HOU,NBA,981084,adrieje01,0.015556711329580591,63065000,77841847.0
2008,DET,NBA,944520,afflaar01,0.016978608664389716,55630000,75594893.0
2009,DET,NBA,1015440,afflaar01,0.01730470347648262,58680000,80023973.0
2010,DEN,NBA,1086240,afflaar01,0.018825649913344886,57700000,77414680.0
2011,DEN,NBA,1959577,afflaar01,0.03376019915925849,58044000,75491545.0
2012,DEN,NBA,7562500,afflaar01,0.1302890910343877,58044000,73970553.0
2013,ORL,NBA,7750000,afflaar01,0.1335193990765626,58044000,72903264.0
2014,ORL,NBA,7312500,afflaar01,0.12461868811670274,58679000,72519787.0
2015,POR,NBA,7750000,afflaar01,0.12288908269246016,63065000,77841847.0
2016,NYK,NBA,8000000,afflaar01,0.11428571428571428,70000000,85323721.0
2017,SAC,NBA,12500000,afflaar01,0.13277673326747608,94143000,112368348.0
2018,SAC,NBA,1500000,afflaar01,0.0151372952680815,99093000,115455294.0
2018,ORL,NBA,1471382,afflaar01,0.014848495857426862,99093000,115455294.0
2007,DAL,NBA,906480,agerma01,0.01705994165804084,53135000,74973988.0
2008,BKN,NBA,974400,agerma01,0.017515728923242855,55630000,75594893.0
2009,BKN,NBA,1042440,agerma01,0.017764826175869122,58680000,80023973.0
2011,MIN,NBA,83305,agerma01,0.001435204327751361,58044000,75491545.0
1985,DAL,NBA,800000,aguirma01,0.2222222222222222,3600000,9793069.0
1986,DAL,NBA,626240,aguirma01,0.14794235766595795,4233000,11298280.0
1988,DAL,NBA,715700,aguirma01,0.11610966904607398,6164000,15248702.0
1989,DAL,NBA,715700,aguirma01,0.09896294247787611,7232000,17069461.0
1991,DET,NBA,1115000,aguirma01,0.09392637520006739,11871000,25499592.0
1992,DET,NBA,1232000,aguirma01,0.09856,12500000,26061180.0
1993,DET,NBA,1351000,aguirma01,0.0965,14000000,28354756.0
1994,DET,NBA,1471000,aguirma01,0.09693574958813839,15175000,29954782.0
1994,LAC,NBA,150000,aguirma01,0.009884678747940691,15175000,29954782.0
2009,SAS,NBA,125562,ahearbl01,0.002139775051124744,58680000,80023973.0
1985,BOS,NBA,400000,aingeda01,0.1111111111111111,3600000,9793069.0
1986,BOS,NBA,550000,aingeda01,0.12993149066855658,4233000,11298280.0
1988,BOS,NBA,625000,aingeda01,0.10139519792342634,6164000,15248702.0
1989,BOS,NBA,675000,aingeda01,0.09333517699115045,7232000,17069461.0
1991,POR,NBA,725000,aingeda01,0.06107320360542499,11871000,25499592.0
1992,POR,NBA,725000,aingeda01,0.058,12500000,26061180.0
1993,PHX,NBA,1330000,aingeda01,0.095,14000000,28354756.0
1994,PHX,NBA,1690000,aingeda01,0.11136738056013179,15175000,29954782.0
1995,PHX,NBA,2080000,aingeda01,0.13029315960912052,15964000,30651995.0
2009,CHA,NBA,1276320,ajincal01,0.021750511247443764,58680000,80023973.0
2010,CHA,NBA,1372080,ajincal01,0.02377954939341421,57700000,77414680.0
2011,TOR,NBA,1467840,ajincal01,0.025288401902005375,58044000,75491545.0
2015,NOP,NBA,981084,ajincal01,0.015556711329580591,63065000,77841847.0
2016,NOP,NBA,4300000,ajincal01,0.06142857142857143,70000000,85323721.0
2017,NOP,NBA,4600000,ajincal01,0.04886183784243119,94143000,112368348.0
2018,NOP,NBA,4961798,ajincal01,0.0500721342577175,99093000,115455294.0
2019,LAC,NBA,5285394,ajincal01,0.05188422385612895,101869000,116573245.0
2014,MEM,NBA,788872,akognjo01,0.013443855553093952,58679000,72519787.0
2011,TOR,NBA,770000,alabiso01,0.01326579835986493,58044000,75491545.0
2012,TOR,NBA,830000,alabiso01,0.014299496933360899,58044000,73970553.0
1988,WAS,NBA,232500,alarima01,0.0377190136275146,6164000,15248702.0
1989,WAS,NBA,250000,alarima01,0.03456858407079646,7232000,17069461.0
1991,WAS,NBA,500000,alarima01,0.04211945076236206,11871000,25499592.0
1992,WAS,NBA,550000,alarima01,0.044,12500000,26061180.0
2022,MEM,NBA,1994520,aldamsa01,0.01774262992154002,112414000,112414000.0
2015,PHI,NBA,3000000,aldemfu01,0.047569967493855544,63065000,77841847.0
2016,PHI,NBA,3000000,aldemfu01,0.04285714285714286,70000000,85323721.0
2011,OKC,NBA,2126520,aldrico01,0.036636344841844116,58044000,75491545.0
2012,OKC,NBA,2286000,aldrico01,0.0393839156501964,58044000,73970553.0
2013,SAC,NBA,2445480,aldrico01,0.04213148645854869,58044000,72903264.0
2015,NYK,NBA,981084,aldrico01,0.015556711329580591,63065000,77841847.0
2016,LAC,NBA,1100600,aldrico01,0.015722857142857143,70000000,85323721.0
2017,MIN,NBA,7643979,aldrico01,0.08119540486281508,94143000,112368348.0
2018,MIN,NBA,7300000,aldrico01,0.0736681703046633,99093000,115455294.0
2019,MIN,NBA,685341,aldrico01,0.006727669850494262,101869000,116573245.0
2020,MIN,NBA,685340,aldrico01,0.006279457577423493,109140000,123384194.0
2021,MIN,NBA,685340,aldrico01,0.006279457577423493,109140000,117838496.0
2007,POR,NBA,4027320,aldrila01,0.07579410934412346,53135000,74973988.0
2008,POR,NBA,4329360,aldrila01,0.07782419557792558,55630000,75594893.0
2009,POR,NBA,4631400,aldrila01,0.07892638036809815,58680000,80023973.0
2010,POR,NBA,5844827,aldrila01,0.10129682842287695,57700000,77414680.0
2011,POR,NBA,11244000,aldrila01,0.1937151126731445,58044000,75491545.0
2012,POR,NBA,12372000,aldrila01,0.21314864585486873,58044000,73970553.0
2013,POR,NBA,13500000,aldrila01,0.23258217903659292,58044000,72903264.0
2014,POR,NBA,14128000,aldrila01,0.24076756590943948,58679000,72519787.0
2015,POR,NBA,16006000,aldrila01,0.2538016332355506,63065000,77841847.0
