POSITION,SEASON,GP,PPG,PER,MPG,RPG,APG,SPG,BPG,TPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,MIN,PTS,REB,AST,STL,BLK,TOV,PF
Point Guard,1985,3463.0,10.1,14.9,25.1,2.4,5.4,1.3,0.2,1.9,4.0,8.5,46.9,0.2,0.6,28.4,1.9,2.4,79.1,"87,090","34,962","8,181","18,647","4,553",542,"6,750","7,374"
Shooting Guard,1985,3908.0,11.9,15.1,23.7,2.6,3.0,1.0,0.2,1.7,4.8,9.8,48.4,0.2,0.6,29.3,2.2,2.7,79.9,"92,711","46,367","10,256","11,749","3,842",911,"6,719","8,472"
Small Forward,1985,3773.0,12.8,16.0,24.0,4.1,2.1,0.8,0.4,1.7,5.1,10.4,49.0,0.1,0.3,30.1,2.5,3.3,77.5,"90,494","48,476","15,580","7,929","3,034","1,378","6,330","8,592"
Power Forward,1985,4241.0,9.9,14.2,22.8,5.7,1.5,0.6,0.7,1.7,3.9,7.7,50.5,0.0,0.1,15.7,2.2,3.0,72.9,"96,750","42,066","24,073","6,169","2,689","2,811","7,222","11,815"
Center,1985,3904.0,9.5,14.8,22.6,6.1,1.3,0.5,1.1,1.6,3.7,7.2,51.0,0.0,0.0,11.5,2.1,2.9,73.9,"88,295","37,170","23,918","5,021","2,004","4,377","6,206","10,783"
Point Guard,1986,3620.0,10.2,15.3,24.8,2.4,5.4,1.3,0.2,2.0,3.9,8.4,47.0,0.2,0.7,28.1,2.1,2.7,79.2,"89,619","36,829","8,510","19,430","4,663",564,"7,235","7,619"
Shooting Guard,1986,3858.0,11.3,14.6,23.3,2.5,2.8,1.0,0.2,1.6,4.5,9.5,47.5,0.2,0.5,30.4,2.1,2.6,80.0,"89,974","43,504","9,662","10,908","3,804",796,"6,052","8,059"
Small Forward,1986,4021.0,12.4,15.9,23.7,4.1,2.0,0.8,0.3,1.7,4.9,10.0,49.0,0.1,0.3,28.8,2.6,3.3,77.7,"95,097","50,044","16,465","8,062","3,235","1,381","6,662","9,443"
Power Forward,1986,4256.0,10.1,14.2,23.4,6.0,1.4,0.7,0.6,1.8,3.9,7.8,50.5,0.0,0.1,19.3,2.2,3.1,69.7,"99,404","42,871","25,548","6,126","2,867","2,678","7,448","12,114"
Center,1986,3654.0,9.5,14.9,22.3,6.0,1.2,0.5,1.2,1.6,3.7,7.3,49.9,0.0,0.0,12.3,2.1,2.9,73.1,"81,546","34,627","21,976","4,539","2,007","4,493","5,728","10,308"
Point Guard,1987,3387.0,10.1,15.2,25.1,2.5,5.6,1.2,0.2,1.9,3.9,8.4,46.3,0.3,0.9,29.2,2.1,2.6,80.7,"85,116","34,361","8,333","19,038","4,089",517,"6,534","6,962"
Shooting Guard,1987,4117.0,12.0,14.9,23.6,2.6,2.8,1.1,0.3,1.6,4.7,10.2,46.3,0.3,0.8,31.8,2.3,2.9,79.5,"97,257","49,386","10,718","11,521","4,337","1,131","6,752","8,641"
Small Forward,1987,3746.0,12.2,15.7,24.0,4.2,2.1,0.8,0.4,1.6,4.7,9.7,48.8,0.1,0.5,32.5,2.6,3.4,76.2,"89,855","45,731","15,769","7,897","2,972","1,598","6,036","8,615"
