season,team,Pre-Season,Post-Reg_Season,Mean,Median,Min,Max,winner,won
1987,PHI,1590.3137,1527.1089,1545.5801780487805,1540.1147,1514.9387,1540.1147,LAL,False
1987,SAS,1414.76,1384.5619,1387.0104463414634,1384.752,1348.0511,1384.752,LAL,False
1987,OKC,1451.3865,1494.274,1493.443662195122,1495.10695,1440.1837,1495.10695,LAL,False
1987,PHX,1444.3523,1464.7374,1428.1773268292684,1432.2058,1359.4557,1432.2058,LAL,False
1987,POR,1482.1389,1545.2662,1546.9908109756095,1558.784,1442.5322,1558.784,LAL,False
1987,SAC,1461.196,1425.1182,1415.1382268292682,1417.4024,1370.861,1417.4024,LAL,False
1987,BKN,1470.3269,1381.5028,1407.766780487805,1410.8159,1350.8425,1410.8159,LAL,False
1987,WAS,1478.1702,1488.8971,1498.7277365853658,1499.1389,1448.8571,1499.1389,LAL,False
1987,GSW,1447.6735,1462.9919,1466.2307914634146,1463.8498,1426.9542,1463.8498,LAL,False
1987,DEN,1514.6084,1511.9536,1475.506226829268,1474.5837,1427.2527,1474.5837,LAL,False
1987,NYK,1362.9786,1322.8696,1371.833713414634,1366.1663,1319.6808,1366.1663,LAL,False
1987,LAL,1611.3174,1686.2128,1679.6451146341462,1681.83,1604.4047,1681.83,LAL,True
1987,CHI,1436.9487,1539.3923,1483.8220719512194,1481.58055,1444.5554,1481.58055,LAL,False
1987,CLE,1443.2375,1427.4442,1414.2625609756096,1413.5630999999998,1377.1566,1413.5630999999998,LAL,False
1987,HOU,1611.462,1525.7162,1530.735012195122,1531.5383499999998,1454.1808,1531.5383499999998,LAL,False
1987,ATL,1567.9272,1681.6678,1628.309963414634,1626.8855,1574.949,1626.8855,LAL,False
1988,SAS,1414.6714,1372.7043,1408.7248426829267,1412.3562,1353.3113,1412.3562,LAL,False
1988,PHI,1524.1042,1457.1023,1490.483175609756,1479.86715,1437.1031,1479.86715,LAL,False
1988,CLE,1446.8331,1569.6328,1495.8119914634146,1490.7815,1433.0613,1490.7815,LAL,False
1988,OKC,1508.8931,1529.873,1521.7710182926828,1521.29615,1482.7938,1521.29615,LAL,False
1988,POR,1519.5383,1605.9182,1566.8395829268293,1570.68985,1498.1824,1570.68985,LAL,False
1988,SAC,1445.0886,1362.9913,1378.100080487805,1370.469,1340.9581,1370.469,LAL,False
1988,LAC,1281.7496,1235.5508,1269.886312195122,1269.81715,1216.8452,1269.81715,LAL,False
1988,BKN,1412.3771,1332.3601,1344.0496012195122,1339.4884499999998,1308.2915,1339.4884499999998,LAL,False
1988,LAL,1680.9379,1642.9755,1688.0883963414633,1690.62255,1621.1484,1690.62255,LAL,True
1988,HOU,1532.7723,1505.7679,1553.6106280487809,1559.0318,1498.834,1559.0318,LAL,False
1988,DET,1619.4186,1646.9629,1634.3639524390242,1637.3739,1585.2852,1637.3739,LAL,False
1988,PHX,1474.8031,1395.9689,1408.7156207317073,1406.67825,1348.8398,1406.67825,LAL,False
1988,BOS,1620.6268,1643.7446,1637.8966097560976,1643.7921,1572.0146,1643.7921,LAL,False
1988,DAL,1564.5291,1595.0089,1589.460269512195,1590.5057,1527.1295,1590.5057,LAL,False
1988,ATL,1616.0466,1570.4382,1616.6700707317073,1613.1393,1559.0105,1613.1393,LAL,False
1988,DEN,1489.8871,1618.0159,1544.4772134146342,1538.46495,1491.999,1538.46495,LAL,False
1988,GSW,1483.4503,1283.7048,1372.5937036585365,1371.8173000000002,1283.7048,1371.8173000000002,LAL,False
1988,IND,1511.5967,1490.7494,1498.958193902439,1507.47605,1436.3986,1507.47605,LAL,False
1988,WAS,1478.3618,1505.6364,1477.981137804878,1477.46585,1414.6102,1477.46585,LAL,False
1988,MIL,1588.1033,1486.0969,1559.9846902439026,1562.05495,1472.9667,1562.05495,LAL,False
1988,UTA,1483.2966,1588.3888,1529.827619512195,1524.09555,1473.9645,1524.09555,LAL,False
1988,NYK,1368.4022,1532.3529,1431.915262195122,1423.0872,1352.0455,1423.0872,LAL,False
1988,CHI,1519.8304,1613.3737,1559.8715804878047,1555.30855,1512.0216,1555.30855,LAL,False
1989,LAL,1622.6305,1636.7776,1638.5639097560977,1636.8724499999998,1600.9874,1636.8724499999998,DET,False
1989,OKC,1533.6316,1547.4923,1536.269724390244,1537.5989,1484.1085,1537.5989,DET,False
1989,NYK,1517.2627,1557.4005,1578.2655512195122,1578.4312,1501.1583,1578.4312,DET,False
1989,DEN,1561.9263,1480.4817,1531.7543,1517.8213,1480.4817,1517.8213,DET,False
1989,UTA,1584.1588,1570.7229,1571.0346731707318,1570.46185,1528.7336,1570.46185,DET,False
1989,POR,1564.8781,1481.219,1526.2115987804875,1528.9376,1468.4456,1528.9376,DET,False
1989,PHI,1469.0767,1540.5881,1517.4938658536585,1520.3401,1473.708,1520.3401,DET,False
1989,BKN,1375.52,1302.5962,1369.675763414634,1379.29295,1302.5962,1379.29295,DET,False
1989,IND,1494.312,1447.7855,1418.830025609756,1421.86045,1367.678,1421.86045,DET,False
1989,HOU,1504.8247,1519.3116,1513.7092670731706,1514.5164,1487.7675,1514.5164,DET,False
1989,DAL,1583.8348,1415.2324,1492.9972158536584,1488.7878999999998,1369.3035,1488.7878999999998,DET,False
1989,CHA,1300.0,1276.2085,1275.917012195122,1283.8016,1227.9519,1283.8016,DET,False
1989,CLE,1553.5847,1642.6825,1648.1841975609757,1660.8627,1567.6544,1660.8627,DET,False
1989,DET,1642.4144,1733.8271,1653.7934475609757,1650.5564,1587.9625,1650.5564,DET,True
1989,MIL,1494.4231,1548.1125,1575.5538524390242,1584.7872,1479.2192,1584.7872,DET,False
1989,ATL,1566.6692,1637.7438,1589.4798402439026,1589.4825,1554.3657,1589.4825,DET,False
1989,LAC,1302.9131,1278.4681,1273.777630487805,1274.0833,1198.9717,1274.0833,DET,False
1989,PHX,1423.2267,1651.292,1553.1237243902438,1567.95415,1407.3776,1567.95415,DET,False
1989,CHI,1559.0715,1534.9011,1556.9484658536585,1555.8440500000002,1525.8309,1555.8440500000002,DET,False
1989,BOS,1590.025,1516.0647,1537.3677280487805,1541.5658,1492.5889,1541.5658,DET,False
1989,GSW,1339.0286,1455.0748,1452.7704268292682,1482.19585,1344.4738,1482.19585,DET,False
1989,SAC,1398.4935,1398.8075,1358.4344853658538,1358.0758,1324.9261,1358.0758,DET,False
1989,MIA,1300.0,1228.1604,1223.7923585365854,1222.1941,1199.0255,1222.1941,DET,False
1989,WAS,1509.9796,1500.2094,1456.258112195122,1448.99995,1412.2592,1448.99995,DET,False
1989,SAS,1400.853,1291.5781,1354.4787951219514,1353.9267,1289.3901,1353.9267,DET,False
1990,POR,1476.2107,1674.0815,1577.1307158536586,1584.45325,1476.7236,1584.45325,DET,False
1990,DAL,1437.6743,1531.266,1471.2815085365853,1463.6305,1411.6997,1463.6305,DET,False
1990,LAC,1335.1011,1334.4163,1380.35675,1368.68415,1321.5709,1368.68415,DET,False
1990,MIA,1297.3704,1245.4484,1269.3649109756095,1266.3324,1238.0411,1266.3324,DET,False
1990,PHX,1618.5417,1612.6875,1627.1099756097562,1627.11085,1558.0731,1627.11085,DET,False
1990,CHI,1561.0237,1606.3652,1582.8134134146342,1581.4347,1531.6543,1581.4347,DET,False
1990,DET,1717.3182,1666.4136,1681.148857317073,1680.4478,1636.0906,1680.4478,DET,True
1990,LAL,1633.9108,1680.2887,1666.9770902439025,1663.3337,1623.8268,1663.3337,DET,False
1990,HOU,1513.0203,1527.989,1497.6772207317072,1501.7312,1437.7666,1501.7312,DET,False
1990,BKN,1353.1971,1208.8298,1299.9804841463415,1309.6997,1208.8298,1309.6997,DET,False
1990,WAS,1501.407,1386.1416,1438.657393902439,1408.2265,1373.6616,1408.2265,DET,False
1990,SAC,1425.3556,1301.0172,1359.3005707317072,1354.56415,1301.0172,1354.56415,DET,False
1990,MIN,1300.0,1341.1737,1319.018825609756,1320.7118,1268.3458,1320.7118,DET,False
1990,IND,1462.0891,1473.9357,1485.7444390243902,1480.19955,1428.8152,1480.19955,DET,False
1990,NYK,1537.3611,1450.7532,1546.0703780487804,1559.1789,1446.2379,1559.1789,DET,False
1990,OKC,1522.9867,1488.9004,1502.0651463414636,1494.4308,1458.9844,1494.4308,DET,False
1990,MIL,1537.2512,1488.2386,1515.795812195122,1523.2258,1463.3719,1523.2258,DET,False
1990,GSW,1481.3505,1415.2366,1446.5294231707317,1450.09265,1384.5089,1450.09265,DET,False
1990,UTA,1525.0464,1584.7611,1573.3166207317072,1583.3487,1498.9137,1583.3487,DET,False
1990,ATL,1589.0162,1537.8798,1512.7496158536585,1505.6295,1434.0428,1505.6295,DET,False
1990,CHA,1333.4064,1304.5315,1269.9957548780487,1271.297,1213.0752,1271.297,DET,False
1990,BOS,1504.2391,1607.0664,1544.1137109756096,1543.88095,1508.988,1543.88095,DET,False
1990,DEN,1477.2523,1489.9139,1495.390919512195,1493.28985,1445.7302,1493.28985,DET,False
1990,CLE,1593.2637,1534.5571,1489.75695,1472.0908,1432.7915,1472.0908,DET,False
1990,SAS,1344.9336,1597.1316,1497.930175609756,1513.37275,1351.673,1513.37275,DET,False
1990,ORL,1300.0,1208.3912,1296.9116036585365,1312.14325,1194.7177,1312.14325,DET,False
1990,PHI,1522.4768,1603.3888,1562.1459512195122,1573.8616000000002,1502.1024,1573.8616000000002,DET,False
1991,CHI,1609.7241,1703.6124,1666.6046560975608,1666.5052,1582.194,1666.5052,CHI,True
1991,WAS,1415.8562,1353.135,1394.7555329268291,1387.95825,1337.1158,1387.95825,CHI,False
